time,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,BE,75,75,54,42
2004-02-01,BE,76,86,51,50
2004-03-01,BE,69,75,51,47
2004-04-01,BE,68,76,52,53
2004-05-01,BE,73,79,55,53
2004-06-01,BE,70,71,58,42
2004-07-01,BE,66,79,49,43
2004-08-01,BE,73,73,51,43
2004-09-01,BE,78,80,59,46
2004-10-01,BE,84,78,71,44
2004-11-01,BE,87,88,81,52
2004-12-01,BE,96,82,100,53
2005-01-01,BE,78,88,72,52
2005-02-01,BE,83,100,65,63
2005-03-01,BE,76,82,81,60
2005-04-01,BE,79,81,77,57
2005-05-01,BE,77,81,69,50
2005-06-01,BE,72,82,74,48
2005-07-01,BE,65,81,63,53
2005-08-01,BE,75,86,64,56
2005-09-01,BE,74,80,67,47
2005-10-01,BE,77,81,75,47
2005-11-01,BE,82,87,84,59
2005-12-01,BE,100,89,84,52
2006-01-01,BE,73,80,68,49
2006-02-01,BE,79,83,68,51
2006-03-01,BE,74,84,74,53
2006-04-01,BE,71,81,69,52
2006-05-01,BE,73,80,71,50
2006-06-01,BE,70,73,67,45
2006-07-01,BE,62,79,67,47
2006-08-01,BE,73,85,74,52
2006-09-01,BE,69,80,71,46
2006-10-01,BE,78,82,73,48
2006-11-01,BE,82,90,84,56
2006-12-01,BE,91,85,92,49
2007-01-01,BE,69,76,70,51
2007-02-01,BE,74,81,72,50
2007-03-01,BE,70,73,69,46
2007-04-01,BE,63,71,70,47
2007-05-01,BE,69,70,69,45
2007-06-01,BE,68,72,68,48
2007-07-01,BE,63,71,61,44
2007-08-01,BE,67,72,65,52
2007-09-01,BE,69,65,67,49
2007-10-01,BE,70,71,59,49
2007-11-01,BE,71,75,70,49
2007-12-01,BE,78,69,72,53
2008-01-01,BE,60,67,55,41
2008-02-01,BE,62,70,57,44
2008-03-01,BE,64,63,58,45
2008-04-01,BE,62,64,57,42
2008-05-01,BE,57,59,59,41
2008-06-01,BE,57,59,49,43
2008-07-01,BE,53,54,46,37
2008-08-01,BE,57,59,56,45
2008-09-01,BE,55,55,51,41
2008-10-01,BE,59,64,51,44
2008-11-01,BE,63,60,57,44
2008-12-01,BE,67,67,63,46
2009-01-01,BE,54,55,57,37
2009-02-01,BE,55,61,53,44
2009-03-01,BE,52,58,47,41
2009-04-01,BE,51,55,44,39
2009-05-01,BE,50,54,43,38
2009-06-01,BE,50,53,43,35
2009-07-01,BE,47,52,42,34
2009-08-01,BE,48,54,43,42
2009-09-01,BE,50,56,42,37
2009-10-01,BE,54,58,44,39
2009-11-01,BE,55,62,45,39
2009-12-01,BE,65,55,52,38
2010-01-01,BE,49,53,38,35
2010-02-01,BE,51,57,37,37
2010-03-01,BE,50,51,38,36
2010-04-01,BE,45,49,34,35
2010-05-01,BE,48,50,36,37
2010-06-01,BE,43,49,36,33
2010-07-01,BE,40,43,33,32
2010-08-01,BE,45,46,33,36
2010-09-01,BE,43,43,31,33
2010-10-01,BE,47,48,32,33
2010-11-01,BE,49,50,38,34
2010-12-01,BE,59,47,43,35
2011-01-01,BE,54,58,44,42
2011-02-01,BE,57,62,36,42
2011-03-01,BE,56,56,38,42
2011-04-01,BE,51,54,40,42
2011-05-01,BE,54,56,41,44
2011-06-01,BE,54,56,42,45
2011-07-01,BE,49,55,37,44
2011-08-01,BE,57,58,42,46
2011-09-01,BE,50,55,43,44
2011-10-01,BE,58,58,42,46
2011-11-01,BE,61,62,54,45
2011-12-01,BE,72,58,57,47
2012-01-01,BE,56,55,46,45
2012-02-01,BE,58,59,42,45
2012-03-01,BE,53,53,42,43
2012-04-01,BE,55,57,44,48
2012-05-01,BE,50,53,43,45
2012-06-01,BE,53,55,43,44
2012-07-01,BE,49,52,41,42
2012-08-01,BE,49,54,41,43
2012-09-01,BE,53,54,45,43
2012-10-01,BE,55,54,41,48
2012-11-01,BE,60,60,48,44
2012-12-01,BE,73,54,61,43
2013-01-01,BE,57,54,43,40
2013-02-01,BE,59,56,41,46
2013-03-01,BE,56,53,43,43
2013-04-01,BE,55,54,44,45
2013-05-01,BE,56,55,43,42
2013-06-01,BE,53,54,42,42
2013-07-01,BE,49,49,42,40
2013-08-01,BE,53,56,42,44
2013-09-01,BE,53,50,41,41
2013-10-01,BE,60,55,44,43
2013-11-01,BE,63,55,50,44
2013-12-01,BE,74,53,58,51
2014-01-01,BE,61,54,44,44
2014-02-01,BE,55,53,39,37
2014-03-01,BE,44,44,36,36
2014-04-01,BE,45,44,39,32
2014-05-01,BE,48,44,36,35
2014-06-01,BE,42,40,37,32
2014-07-01,BE,41,41,36,34
2014-08-01,BE,44,44,35,37
2014-09-01,BE,39,38,30,30
2014-10-01,BE,45,44,36,32
2014-11-01,BE,47,45,39,32
2014-12-01,BE,53,43,46,32
2015-01-01,BE,43,39,32,31
2015-02-01,BE,43,43,33,32
2015-03-01,BE,45,41,32,33
2015-04-01,BE,44,39,32,31
2015-05-01,BE,40,40,35,32
2015-06-01,BE,42,40,33,30
2015-07-01,BE,39,40,33,31
2015-08-01,BE,38,40,33,30
2015-09-01,BE,37,37,30,30
2015-10-01,BE,41,39,31,31
2015-11-01,BE,42,38,35,32
2015-12-01,BE,48,37,41,30
2016-01-01,BE,59,54,42,43
