time,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,CY,13,6,0,0
2004-02-01,CY,12,18,0,0
2004-03-01,CY,12,12,0,29
2004-04-01,CY,11,7,8,0
2004-05-01,CY,73,80,47,68
2004-06-01,CY,82,81,50,53
2004-07-01,CY,83,84,40,70
2004-08-01,CY,75,73,50,37
2004-09-01,CY,77,81,63,38
2004-10-01,CY,74,81,73,51
2004-11-01,CY,75,77,51,69
2004-12-01,CY,100,79,100,48
2005-01-01,CY,86,88,47,46
2005-02-01,CY,76,87,51,48
2005-03-01,CY,85,72,70,67
2005-04-01,CY,64,66,70,46
2005-05-01,CY,73,88,54,33
2005-06-01,CY,75,90,51,63
2005-07-01,CY,70,73,58,52
2005-08-01,CY,69,77,55,49
2005-09-01,CY,69,57,61,40
2005-10-01,CY,65,59,46,37
2005-11-01,CY,67,64,54,44
2005-12-01,CY,71,55,58,39
2006-01-01,CY,49,47,32,23
2006-02-01,CY,13,5,8,13
2006-03-01,CY,12,6,0,13
2006-04-01,CY,11,5,6,10
2006-05-01,CY,12,13,3,6
2006-06-01,CY,11,5,2,15
2006-07-01,CY,12,15,3,15
2006-08-01,CY,10,6,4,0
2006-09-01,CY,12,11,7,5
2006-10-01,CY,12,11,4,7
2006-11-01,CY,13,9,6,0
2006-12-01,CY,14,11,7,12
2007-01-01,CY,13,11,4,4
2007-02-01,CY,13,9,5,0
2007-03-01,CY,13,10,3,7
2007-04-01,CY,12,12,6,0
2007-05-01,CY,12,16,3,14
2007-06-01,CY,12,9,5,0
2007-07-01,CY,12,10,5,5
2007-08-01,CY,12,10,5,6
2007-09-01,CY,12,15,7,8
2007-10-01,CY,13,17,5,11
2007-11-01,CY,15,18,4,5
2007-12-01,CY,15,8,8,5
2008-01-01,CY,14,12,7,5
2008-02-01,CY,15,18,5,10
2008-03-01,CY,14,13,8,12
2008-04-01,CY,13,14,6,16
2008-05-01,CY,14,14,6,10
2008-06-01,CY,13,15,6,9
2008-07-01,CY,13,15,5,8
2008-08-01,CY,12,13,7,8
2008-09-01,CY,13,14,4,10
2008-10-01,CY,14,14,2,10
2008-11-01,CY,14,13,4,10
2008-12-01,CY,14,14,3,11
2009-01-01,CY,14,15,6,13
2009-02-01,CY,14,16,4,12
2009-03-01,CY,15,13,5,12
2009-04-01,CY,15,13,8,10
2009-05-01,CY,15,14,5,10
2009-06-01,CY,14,13,3,10
2009-07-01,CY,13,10,5,9
2009-08-01,CY,12,14,4,14
2009-09-01,CY,14,11,2,8
2009-10-01,CY,15,14,5,11
2009-11-01,CY,15,15,5,13
2009-12-01,CY,16,13,8,14
2010-01-01,CY,15,15,5,14
2010-02-01,CY,15,15,4,12
2010-03-01,CY,16,14,5,8
2010-04-01,CY,14,10,5,7
2010-05-01,CY,14,13,4,12
2010-06-01,CY,12,11,5,10
2010-07-01,CY,12,13,5,13
2010-08-01,CY,10,12,3,14
2010-09-01,CY,11,12,6,10
2010-10-01,CY,12,12,5,9
2010-11-01,CY,14,13,7,9
2010-12-01,CY,14,14,6,14
2011-01-01,CY,23,22,10,18
2011-02-01,CY,23,20,9,14
2011-03-01,CY,24,23,7,18
2011-04-01,CY,25,22,10,20
2011-05-01,CY,27,24,11,22
2011-06-01,CY,21,22,9,15
2011-07-01,CY,20,18,11,17
2011-08-01,CY,21,21,11,18
2011-09-01,CY,20,23,10,22
2011-10-01,CY,22,22,12,23
2011-11-01,CY,25,22,14,21
2011-12-01,CY,28,22,9,22
2012-01-01,CY,24,24,10,28
2012-02-01,CY,24,24,14,22
2012-03-01,CY,25,25,12,22
2012-04-01,CY,21,21,12,22
2012-05-01,CY,23,23,12,20
2012-06-01,CY,23,24,13,24
2012-07-01,CY,22,23,12,20
2012-08-01,CY,21,24,12,23
2012-09-01,CY,24,25,14,26
2012-10-01,CY,23,24,13,22
2012-11-01,CY,24,24,16,26
2012-12-01,CY,26,23,15,26
2013-01-01,CY,26,25,13,30
2013-02-01,CY,25,27,14,30
2013-03-01,CY,27,24,13,24
2013-04-01,CY,31,25,14,29
2013-05-01,CY,29,28,15,29
2013-06-01,CY,30,26,14,27
2013-07-01,CY,31,30,15,31
2013-08-01,CY,32,30,17,30
2013-09-01,CY,32,30,20,28
2013-10-01,CY,35,28,20,28
2013-11-01,CY,37,32,24,31
2013-12-01,CY,40,34,19,35
2014-01-01,CY,37,33,21,39
2014-02-01,CY,35,32,19,37
2014-03-01,CY,38,31,21,33
2014-04-01,CY,37,29,22,28
2014-05-01,CY,38,32,21,33
2014-06-01,CY,36,34,22,35
2014-07-01,CY,38,36,23,38
2014-08-01,CY,37,39,21,46
2014-09-01,CY,35,36,22,40
2014-10-01,CY,40,39,26,39
2014-11-01,CY,42,39,24,40
2014-12-01,CY,45,42,25,50
2015-01-01,CY,41,42,22,47
2015-02-01,CY,43,41,22,42
2015-03-01,CY,40,41,25,44
2015-04-01,CY,41,41,24,46
2015-05-01,CY,38,39,23,42
2015-06-01,CY,40,42,24,42
2015-07-01,CY,41,45,22,49
2015-08-01,CY,38,46,19,50
2015-09-01,CY,39,40,22,42
2015-10-01,CY,42,42,29,43
2015-11-01,CY,43,42,31,43
2015-12-01,CY,50,49,26,60
2016-01-01,CY,48,49,34,56
2016-02-01,CY,46,45,24,50
2016-03-01,CY,48,48,24,56
2016-04-01,CY,48,49,22,59
2016-05-01,CY,48,53,25,59
2016-06-01,CY,45,51,28,59
2016-07-01,CY,47,62,28,70
2016-08-01,CY,50,64,25,68
2016-09-01,CY,47,58,25,60
2016-10-01,CY,51,62,24,62
2016-11-01,CY,50,59,28,69
2016-12-01,CY,54,64,29,72
2017-01-01,CY,49,57,24,67
2017-02-01,CY,47,61,23,66
2017-03-01,CY,50,58,29,62
2017-04-01,CY,47,56,27,63
2017-05-01,CY,45,63,24,68
2017-06-01,CY,46,60,22,64
2017-07-01,CY,46,68,20,71
2017-08-01,CY,49,65,20,63
2017-09-01,CY,47,60,26,61
2017-10-01,CY,51,64,29,67
2017-11-01,CY,49,58,22,66
2017-12-01,CY,53,67,22,72
2018-01-01,CY,47,59,19,65
2018-02-01,CY,49,65,19,68
2018-03-01,CY,51,64,19,69
2018-04-01,CY,47,66,18,66
2018-05-01,CY,49,66,19,70
2018-06-01,CY,47,68,19,68
2018-07-01,CY,50,74,20,68
2018-08-01,CY,49,78,21,76
2018-09-01,CY,51,71,17,67
2018-10-01,CY,52,72,21,68
2018-11-01,CY,52,67,20,71
2018-12-01,CY,55,70,19,78
2019-01-01,CY,48,64,19,64
2019-02-01,CY,48,69,17,69
2019-03-01,CY,48,66,21,66
2019-04-01,CY,46,67,21,69
2019-05-01,CY,50,70,20,64
2019-06-01,CY,48,75,21,69
2019-07-01,CY,49,77,21,75
2019-08-01,CY,53,88,20,78
2019-09-01,CY,50,72,22,63
2019-10-01,CY,51,72,19,64
2019-11-01,CY,53,71,18,70
2019-12-01,CY,59,76,23,78
2020-01-01,CY,50,69,20,70
2020-02-01,CY,50,70,17,65
2020-03-01,CY,56,48,22,63
2020-04-01,CY,76,46,27,68
2020-05-01,CY,55,50,24,70
2020-06-01,CY,51,65,21,71
2020-07-01,CY,52,71,32,71
2020-08-01,CY,57,79,36,81
2020-09-01,CY,54,71,22,64
2020-10-01,CY,54,71,24,69
2020-11-01,CY,54,58,24,69
2020-12-01,CY,62,59,27,81
2021-01-01,CY,61,55,23,77
2021-02-01,CY,58,51,23,68
2021-03-01,CY,54,58,24,71
2021-04-01,CY,61,66,22,75
2021-05-01,CY,54,69,20,77
2021-06-01,CY,53,84,20,78
2021-07-01,CY,59,97,23,100
2021-08-01,CY,62,100,21,88
2021-09-01,CY,62,87,23,74
2021-10-01,CY,61,96,24,79
2021-11-01,CY,62,78,25,66
