time,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,DE,72,72,71,53
2004-02-01,DE,62,67,64,45
2004-03-01,DE,67,77,74,44
2004-04-01,DE,67,59,74,46
2004-05-01,DE,55,60,62,46
2004-06-01,DE,62,75,64,48
2004-07-01,DE,64,66,63,55
2004-08-01,DE,61,62,64,49
2004-09-01,DE,60,63,63,46
2004-10-01,DE,68,62,71,44
2004-11-01,DE,70,70,76,46
2004-12-01,DE,73,69,69,53
2005-01-01,DE,64,73,63,58
2005-02-01,DE,61,70,66,50
2005-03-01,DE,59,61,75,48
2005-04-01,DE,59,64,65,45
2005-05-01,DE,57,67,73,48
2005-06-01,DE,61,68,70,51
2005-07-01,DE,61,67,71,54
2005-08-01,DE,63,70,71,51
2005-09-01,DE,57,64,73,46
2005-10-01,DE,59,65,76,47
2005-11-01,DE,64,66,81,48
2005-12-01,DE,72,69,84,51
2006-01-01,DE,62,69,73,59
2006-02-01,DE,62,71,71,55
2006-03-01,DE,63,71,73,60
2006-04-01,DE,57,68,65,52
2006-05-01,DE,58,71,72,52
2006-06-01,DE,56,65,68,51
2006-07-01,DE,63,73,73,57
2006-08-01,DE,65,74,69,57
2006-09-01,DE,63,71,69,63
2006-10-01,DE,65,69,71,50
2006-11-01,DE,68,78,85,53
2006-12-01,DE,76,78,85,52
2007-01-01,DE,65,75,79,60
2007-02-01,DE,64,74,77,55
2007-03-01,DE,62,74,77,57
2007-04-01,DE,57,67,74,50
2007-05-01,DE,61,74,73,59
2007-06-01,DE,61,73,69,63
2007-07-01,DE,61,75,70,67
2007-08-01,DE,62,74,69,62
2007-09-01,DE,62,74,75,62
2007-10-01,DE,63,73,77,58
2007-11-01,DE,66,80,84,66
2007-12-01,DE,72,74,77,66
2008-01-01,DE,58,71,66,63
2008-02-01,DE,55,69,63,61
2008-03-01,DE,58,68,65,61
2008-04-01,DE,56,69,64,59
2008-05-01,DE,52,66,56,57
2008-06-01,DE,52,67,59,63
2008-07-01,DE,54,71,60,63
2008-08-01,DE,57,68,59,62
2008-09-01,DE,55,66,58,57
2008-10-01,DE,55,65,61,54
2008-11-01,DE,58,70,67,57
2008-12-01,DE,65,69,66,58
2009-01-01,DE,54,65,61,58
