time,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,ES,65,55,47,38
2004-02-01,ES,65,51,40,32
2004-03-01,ES,63,58,40,30
2004-04-01,ES,65,62,44,30
2004-05-01,ES,64,50,49,32
2004-06-01,ES,65,62,49,32
2004-07-01,ES,62,77,51,27
2004-08-01,ES,58,57,43,29
2004-09-01,ES,66,61,52,29
2004-10-01,ES,71,64,56,32
2004-11-01,ES,75,69,60,36
2004-12-01,ES,80,67,64,27
2005-01-01,ES,64,56,57,34
2005-02-01,ES,71,69,53,33
2005-03-01,ES,66,73,54,30
2005-04-01,ES,66,74,55,30
2005-05-01,ES,64,72,58,29
2005-06-01,ES,66,80,58,32
2005-07-01,ES,64,90,59,30
2005-08-01,ES,57,77,52,29
2005-09-01,ES,64,75,68,32
2005-10-01,ES,69,74,65,36
2005-11-01,ES,79,82,70,35
2005-12-01,ES,82,82,80,34
2006-01-01,ES,69,66,64,35
2006-02-01,ES,71,79,63,36
2006-03-01,ES,72,79,66,31
2006-04-01,ES,65,80,62,35
2006-05-01,ES,70,79,60,36
2006-06-01,ES,72,90,65,33
2006-07-01,ES,69,100,65,34
2006-08-01,ES,62,86,55,32
2006-09-01,ES,67,84,64,36
2006-10-01,ES,75,87,71,37
2006-11-01,ES,77,88,76,38
2006-12-01,ES,81,79,83,40
2007-01-01,ES,64,71,67,35
2007-02-01,ES,69,78,60,36
2007-03-01,ES,67,82,69,37
2007-04-01,ES,67,81,61,37
2007-05-01,ES,67,77,65,36
2007-06-01,ES,67,85,61,39
2007-07-01,ES,64,88,65,34
2007-08-01,ES,61,76,55,36
2007-09-01,ES,66,76,64,37
2007-10-01,ES,68,78,68,35
2007-11-01,ES,72,75,76,38
2007-12-01,ES,76,69,78,41
2008-01-01,ES,61,63,68,35
2008-02-01,ES,64,67,61,34
2008-03-01,ES,61,66,62,38
2008-04-01,ES,65,71,65,34
2008-05-01,ES,67,68,64,40
2008-06-01,ES,57,64,61,38
2008-07-01,ES,58,71,59,33
2008-08-01,ES,53,58,50,34
2008-09-01,ES,58,56,59,33
2008-10-01,ES,62,60,64,36
2008-11-01,ES,65,61,66,46
