time,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,FI,73,59,51,32
2004-02-01,FI,72,62,68,37
2004-03-01,FI,73,68,56,23
2004-04-01,FI,67,63,41,31
2004-05-01,FI,66,68,51,33
2004-06-01,FI,61,62,53,31
2004-07-01,FI,56,58,47,28
2004-08-01,FI,70,63,59,34
2004-09-01,FI,72,70,49,33
2004-10-01,FI,78,68,68,42
2004-11-01,FI,72,70,55,38
2004-12-01,FI,87,64,94,35
2005-01-01,FI,74,69,71,41
2005-02-01,FI,78,68,75,35
2005-03-01,FI,81,67,78,33
2005-04-01,FI,78,69,84,36
2005-05-01,FI,75,68,76,41
2005-06-01,FI,67,65,70,35
2005-07-01,FI,61,60,56,30
2005-08-01,FI,84,76,67,43
2005-09-01,FI,88,75,63,35
2005-10-01,FI,87,78,60,44
2005-11-01,FI,91,79,63,38
2005-12-01,FI,96,71,71,39
2006-01-01,FI,89,76,67,40
2006-02-01,FI,83,76,67,42
2006-03-01,FI,79,74,64,43
2006-04-01,FI,83,73,76,38
2006-05-01,FI,73,66,61,37
2006-06-01,FI,69,66,82,38
2006-07-01,FI,69,67,65,39
2006-08-01,FI,77,74,74,39
2006-09-01,FI,80,81,72,41
2006-10-01,FI,83,76,67,43
2006-11-01,FI,85,76,72,43
2006-12-01,FI,100,72,83,44
2007-01-01,FI,85,76,96,43
2007-02-01,FI,90,78,81,44
2007-03-01,FI,92,75,75,45
2007-04-01,FI,83,78,81,46
2007-05-01,FI,74,75,66,41
2007-06-01,FI,65,65,73,36
2007-07-01,FI,67,67,63,38
2007-08-01,FI,75,72,70,37
2007-09-01,FI,78,75,69,43
2007-10-01,FI,80,73,100,44
2007-11-01,FI,79,100,72,100
2007-12-01,FI,82,63,69,43
2008-01-01,FI,72,69,64,44
2008-02-01,FI,69,68,57,45
2008-03-01,FI,73,64,55,38
2008-04-01,FI,68,67,56,38
2008-05-01,FI,65,67,59,42
2008-06-01,FI,57,60,59,36
2008-07-01,FI,55,58,50,33
2008-08-01,FI,68,64,62,37
2008-09-01,FI,65,65,51,40
2008-10-01,FI,76,62,52,38
2008-11-01,FI,65,64,54,39
2008-12-01,FI,74,57,55,39
2009-01-01,FI,65,61,58,37
2009-02-01,FI,63,62,48,38
2009-03-01,FI,61,60,54,36
2009-04-01,FI,63,61,50,35
2009-05-01,FI,56,54,47,36
2009-06-01,FI,53,59,47,33
2009-07-01,FI,53,66,45,34
2009-08-01,FI,60,59,53,37
2009-09-01,FI,59,56,46,38
2009-10-01,FI,63,57,43,40
2009-11-01,FI,59,54,51,36
2009-12-01,FI,70,47,55,34
2010-01-01,FI,60,48,50,35
2010-02-01,FI,58,50,44,35
2010-03-01,FI,57,51,51,35
2010-04-01,FI,59,52,72,34
2010-05-01,FI,49,50,43,32
2010-06-01,FI,47,44,48,32
2010-07-01,FI,44,48,45,32
2010-08-01,FI,52,48,48,33
2010-09-01,FI,55,50,46,33
2010-10-01,FI,56,50,46,33
2010-11-01,FI,58,52,47,36
2010-12-01,FI,62,45,52,34
2011-01-01,FI,59,59,45,41
2011-02-01,FI,63,54,50,39
2011-03-01,FI,62,56,46,42
2011-04-01,FI,68,54,53,39
2011-05-01,FI,56,54,46,37
2011-06-01,FI,51,48,48,36
2011-07-01,FI,49,50,43,38
2011-08-01,FI,59,54,50,39
2011-09-01,FI,58,53,49,39
2011-10-01,FI,58,56,43,37
2011-11-01,FI,59,56,45,35
2011-12-01,FI,66,53,56,37
2012-01-01,FI,60,55,48,38
2012-02-01,FI,59,56,46,37
2012-03-01,FI,56,58,45,35
2012-04-01,FI,59,57,50,38
2012-05-01,FI,51,53,45,36
2012-06-01,FI,50,52,48,37
2012-07-01,FI,51,55,44,37
2012-08-01,FI,57,60,48,40
2012-09-01,FI,64,60,55,36
2012-10-01,FI,63,56,50,35
2012-11-01,FI,58,56,49,35
2012-12-01,FI,62,51,61,43
2013-01-01,FI,55,55,51,35
2013-02-01,FI,57,56,50,37
2013-03-01,FI,59,57,54,33
2013-04-01,FI,54,55,55,32
2013-05-01,FI,54,56,49,34
2013-06-01,FI,53,53,58,34
2013-07-01,FI,56,58,53,37
2013-08-01,FI,58,62,59,38
2013-09-01,FI,58,57,54,34
2013-10-01,FI,62,56,55,33
2013-11-01,FI,61,54,54,34
2013-12-01,FI,72,57,72,39
2014-01-01,FI,61,57,61,36
2014-02-01,FI,59,54,56,37
2014-03-01,FI,58,57,57,36
2014-04-01,FI,63,56,61,34
2014-05-01,FI,62,55,54,39
2014-06-01,FI,56,55,64,36
2014-07-01,FI,56,53,64,40
2014-08-01,FI,60,60,63,39
2014-09-01,FI,60,58,57,36
2014-10-01,FI,62,61,59,36
2014-11-01,FI,63,58,64,37
2014-12-01,FI,70,56,68,39
2015-01-01,FI,64,57,65,35
2015-02-01,FI,61,60,70,40
2015-03-01,FI,64,59,64,35
2015-04-01,FI,71,59,65,36
2015-05-01,FI,60,60,61,40
2015-06-01,FI,58,58,63,37
2015-07-01,FI,56,61,56,42
2015-08-01,FI,52,59,59,36
2015-09-01,FI,55,56,59,34
2015-10-01,FI,60,58,55,34
2015-11-01,FI,57,58,61,35
2015-12-01,FI,71,53,70,33
2016-01-01,FI,60,54,70,36
2016-02-01,FI,60,58,62,35
2016-03-01,FI,61,56,61,35
2016-04-01,FI,51,52,56,32
2016-05-01,FI,48,49,59,30
2016-06-01,FI,57,59,65,35
2016-07-01,FI,58,63,66,41
2016-08-01,FI,59,64,63,39
2016-09-01,FI,61,62,62,39
2016-10-01,FI,60,62,60,37
2016-11-01,FI,60,57,60,36
2016-12-01,FI,72,62,71,39
