time,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,LV,28,53,0,0
2004-02-01,LV,32,20,0,59
2004-03-01,LV,34,63,39,0
2004-04-01,LV,33,47,48,26
2004-05-01,LV,29,16,72,0
2004-06-01,LV,34,30,17,61
2004-07-01,LV,31,41,100,37
2004-08-01,LV,29,42,0,0
2004-09-01,LV,37,18,0,0
2004-10-01,LV,35,43,31,36
2004-11-01,LV,37,81,29,25
2004-12-01,LV,31,45,18,0
2005-01-01,LV,36,59,19,0
2005-02-01,LV,39,42,44,41
2005-03-01,LV,40,55,0,0
2005-04-01,LV,38,32,10,0
2005-05-01,LV,36,79,16,52
2005-06-01,LV,34,45,30,28
2005-07-01,LV,32,39,32,28
2005-08-01,LV,36,50,20,45
2005-09-01,LV,36,51,25,0
2005-10-01,LV,37,49,9,16
2005-11-01,LV,44,48,47,15
2005-12-01,LV,44,67,23,43
2006-01-01,LV,42,58,11,29
2006-02-01,LV,46,66,10,28
2006-03-01,LV,42,56,0,37
2006-04-01,LV,46,75,24,31
2006-05-01,LV,41,45,32,12
2006-06-01,LV,39,52,27,34
2006-07-01,LV,40,56,16,0
2006-08-01,LV,44,76,28,28
2006-09-01,LV,43,61,39,11
2006-10-01,LV,47,77,25,52
2006-11-01,LV,47,91,34,60
2006-12-01,LV,57,53,35,68
2007-01-01,LV,52,82,28,53
2007-02-01,LV,52,84,37,53
2007-03-01,LV,51,71,24,41
2007-04-01,LV,55,100,30,68
2007-05-01,LV,48,62,35,49
2007-06-01,LV,46,73,47,44
2007-07-01,LV,49,64,30,30
2007-08-01,LV,50,76,33,48
2007-09-01,LV,50,73,29,44
2007-10-01,LV,65,79,33,54
2007-11-01,LV,55,69,42,35
2007-12-01,LV,56,63,21,50
2008-01-01,LV,53,81,24,60
2008-02-01,LV,55,74,43,38
2008-03-01,LV,55,73,42,59
2008-04-01,LV,51,68,28,35
2008-05-01,LV,49,65,24,38
2008-06-01,LV,50,57,32,40
2008-07-01,LV,53,60,31,29
2008-08-01,LV,56,69,35,31
2008-09-01,LV,56,54,42,30
2008-10-01,LV,55,68,40,43
2008-11-01,LV,56,96,26,46
2008-12-01,LV,59,62,35,30
2009-01-01,LV,57,78,30,56
2009-02-01,LV,62,69,34,47
2009-03-01,LV,64,72,37,49
2009-04-01,LV,53,56,21,38
2009-05-01,LV,54,66,21,44
2009-06-01,LV,52,49,27,36
2009-07-01,LV,59,56,24,42
2009-08-01,LV,61,56,21,49
2009-09-01,LV,60,45,28,32
2009-10-01,LV,59,55,14,45
2009-11-01,LV,52,43,16,29
2009-12-01,LV,56,51,24,32
2010-01-01,LV,49,42,19,34
2010-02-01,LV,52,41,20,26
2010-03-01,LV,52,57,20,33
2010-04-01,LV,50,54,18,38
2010-05-01,LV,45,36,13,24
2010-06-01,LV,47,59,15,29
2010-07-01,LV,50,44,13,27
2010-08-01,LV,55,46,16,27
2010-09-01,LV,55,39,11,31
2010-10-01,LV,45,39,9,29
2010-11-01,LV,46,42,14,30
2010-12-01,LV,42,41,11,28
2011-01-01,LV,65,72,22,61
2011-02-01,LV,69,67,23,49
2011-03-01,LV,67,61,26,48
2011-04-01,LV,63,58,21,45
2011-05-01,LV,59,64,26,39
2011-06-01,LV,61,50,25,37
2011-07-01,LV,77,61,15,49
2011-08-01,LV,87,74,18,46
2011-09-01,LV,76,62,23,42
2011-10-01,LV,74,63,28,52
2011-11-01,LV,75,77,26,54
2011-12-01,LV,84,74,21,61
2012-01-01,LV,71,73,29,51
2012-02-01,LV,80,82,22,67
2012-03-01,LV,73,87,25,70
2012-04-01,LV,73,68,27,58
2012-05-01,LV,69,68,22,52
2012-06-01,LV,70,70,14,61
2012-07-01,LV,74,69,19,55
2012-08-01,LV,82,70,23,52
2012-09-01,LV,81,64,19,50
2012-10-01,LV,76,68,21,58
2012-11-01,LV,74,70,21,61
2012-12-01,LV,79,72,21,61
2013-01-01,LV,75,71,24,64
2013-02-01,LV,75,72,23,64
2013-03-01,LV,73,74,22,64
2013-04-01,LV,74,69,22,55
2013-05-01,LV,65,56,19,43
2013-06-01,LV,66,65,22,55
2013-07-01,LV,79,73,17,55
2013-08-01,LV,88,73,23,61
2013-09-01,LV,78,65,21,55
2013-10-01,LV,73,67,19,58
2013-11-01,LV,66,63,24,47
2013-12-01,LV,79,77,15,64
2014-01-01,LV,73,73,22,63
2014-02-01,LV,75,79,20,61
2014-03-01,LV,72,74,19,60
2014-04-01,LV,67,74,19,56
2014-05-01,LV,73,68,18,56
2014-06-01,LV,76,71,23,65
2014-07-01,LV,78,75,21,65
2014-08-01,LV,87,82,19,65
2014-09-01,LV,84,74,19,63
2014-10-01,LV,79,75,22,59
2014-11-01,LV,79,77,24,65
2014-12-01,LV,94,78,25,63
2015-01-01,LV,75,73,26,68
2015-02-01,LV,81,75,22,63
2015-03-01,LV,78,73,25,63
2015-04-01,LV,76,71,28,54
2015-05-01,LV,70,65,21,60
2015-06-01,LV,72,68,21,63
2015-07-01,LV,84,83,20,70
2015-08-01,LV,84,75,19,69
2015-09-01,LV,86,77,20,68
2015-10-01,LV,81,76,18,62
2015-11-01,LV,78,76,20,69
2015-12-01,LV,87,74,22,70
2016-01-01,LV,77,72,19,66
2016-02-01,LV,83,77,16,72
2016-03-01,LV,81,73,21,66
2016-04-01,LV,71,72,21,66
2016-05-01,LV,68,70,17,64
2016-06-01,LV,73,67,19,57
2016-07-01,LV,78,75,23,64
2016-08-01,LV,88,70,18,65
2016-09-01,LV,77,75,16,71
2016-10-01,LV,77,73,20,63
2016-11-01,LV,73,72,22,66
2016-12-01,LV,77,71,15,60
2017-01-01,LV,70,70,19,68
2017-02-01,LV,73,77,23,71
2017-03-01,LV,74,72,20,60
2017-04-01,LV,74,72,20,74
2017-05-01,LV,69,67,18,61
2017-06-01,LV,74,71,19,58
2017-07-01,LV,78,81,23,70
2017-08-01,LV,83,82,23,71
2017-09-01,LV,87,72,27,63
2017-10-01,LV,85,84,27,66
2017-11-01,LV,77,78,24,68
2017-12-01,LV,86,78,30,70
2018-01-01,LV,76,77,23,67
2018-02-01,LV,79,78,23,69
2018-03-01,LV,83,85,22,79
2018-04-01,LV,71,75,22,66
2018-05-01,LV,68,70,21,63
2018-06-01,LV,75,79,24,68
2018-07-01,LV,85,94,20,77
2018-08-01,LV,94,99,28,72
2018-09-01,LV,78,74,25,66
2018-10-01,LV,83,93,30,74
2018-11-01,LV,78,72,29,65
2018-12-01,LV,88,92,31,78
2019-01-01,LV,78,86,25,71
2019-02-01,LV,79,79,30,75
2019-03-01,LV,87,98,34,75
2019-04-01,LV,72,84,26,78
2019-05-01,LV,74,82,24,75
2019-06-01,LV,78,80,27,70
2019-07-01,LV,93,99,29,87
2019-08-01,LV,94,96,30,85
2019-09-01,LV,88,96,29,84
2019-10-01,LV,86,90,24,76
2019-11-01,LV,89,90,27,78
2019-12-01,LV,94,92,24,83
2020-01-01,LV,83,93,26,85
2020-02-01,LV,85,87,27,74
2020-03-01,LV,79,73,24,82
2020-04-01,LV,86,62,20,81
2020-05-01,LV,85,60,22,66
2020-06-01,LV,80,69,23,71
2020-07-01,LV,95,89,29,84
2020-08-01,LV,95,82,24,77
2020-09-01,LV,89,71,30,73
2020-10-01,LV,85,82,33,78
2020-11-01,LV,82,66,30,83
2020-12-01,LV,94,75,26,100
2021-01-01,LV,87,65,24,83
2021-02-01,LV,87,71,26,90
2021-03-01,LV,87,73,24,88
2021-04-01,LV,82,64,24,76
2021-05-01,LV,80,75,20,84
2021-06-01,LV,75,68,22,81
2021-07-01,LV,91,84,26,86
2021-08-01,LV,95,79,29,78
2021-09-01,LV,85,69,31,71
2021-10-01,LV,81,67,92,72
2021-11-01,LV,76,63,54,66
2021-12-01,LV,82,69,51,65
2022-01-01,LV,87,83,57,86
2022-02-01,LV,84,84,43,85
2022-03-01,LV,78,78,48,74
2022-04-01,LV,82,81,49,69
2022-05-01,LV,79,83,47,80
2022-06-01,LV,82,82,44,74
2022-07-01,LV,96,93,46,81
2022-08-01,LV,100,95,45,79
2022-09-01,LV,87,81,47,73
