time,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,NL,59,75,53,33
2004-02-01,NL,57,76,47,37
2004-03-01,NL,59,73,52,37
2004-04-01,NL,57,67,47,35
2004-05-01,NL,57,71,49,36
2004-06-01,NL,59,71,53,36
2004-07-01,NL,55,73,47,31
2004-08-01,NL,58,70,51,35
2004-09-01,NL,63,77,63,35
2004-10-01,NL,67,83,61,40
2004-11-01,NL,73,91,66,36
2004-12-01,NL,83,82,68,38
2005-01-01,NL,67,84,66,44
2005-02-01,NL,70,89,67,39
2005-03-01,NL,71,80,68,37
2005-04-01,NL,62,79,65,38
2005-05-01,NL,64,83,69,39
2005-06-01,NL,68,84,61,41
2005-07-01,NL,60,76,62,35
2005-08-01,NL,63,75,61,37
2005-09-01,NL,62,79,63,34
2005-10-01,NL,67,80,64,37
2005-11-01,NL,71,86,67,39
2005-12-01,NL,78,88,66,39
2006-01-01,NL,65,85,67,41
2006-02-01,NL,64,80,67,41
2006-03-01,NL,67,89,68,41
2006-04-01,NL,62,80,72,40
2006-05-01,NL,65,82,71,37
2006-06-01,NL,60,81,72,39
2006-07-01,NL,55,72,66,39
2006-08-01,NL,64,94,68,39
2006-09-01,NL,65,85,67,39
2006-10-01,NL,68,98,70,44
2006-11-01,NL,67,100,72,40
2006-12-01,NL,81,97,78,42
2007-01-01,NL,64,94,62,42
2007-02-01,NL,64,95,70,42
2007-03-01,NL,63,86,68,39
2007-04-01,NL,57,83,67,38
2007-05-01,NL,69,91,71,43
2007-06-01,NL,62,90,62,43
2007-07-01,NL,55,84,56,41
2007-08-01,NL,61,84,61,37
2007-09-01,NL,62,85,67,42
2007-10-01,NL,63,86,62,40
2007-11-01,NL,66,96,62,43
2007-12-01,NL,73,85,70,42
2008-01-01,NL,60,86,61,42
2008-02-01,NL,57,84,61,41
2008-03-01,NL,59,81,64,40
2008-04-01,NL,54,81,63,40
2008-05-01,NL,53,76,64,36
2008-06-01,NL,53,75,56,39
2008-07-01,NL,52,77,51,34
2008-08-01,NL,53,79,56,39
2008-09-01,NL,57,74,58,37
2008-10-01,NL,57,71,57,37
2008-11-01,NL,57,77,57,36
2008-12-01,NL,66,73,71,36
2009-01-01,NL,53,70,57,37
2009-02-01,NL,51,72,52,33
2009-03-01,NL,52,68,55,32
2009-04-01,NL,49,62,58,30
2009-05-01,NL,49,64,61,32
2009-06-01,NL,51,69,59,34
2009-07-01,NL,47,61,50,32
2009-08-01,NL,49,60,51,32
2009-09-01,NL,50,65,58,33
2009-10-01,NL,53,69,59,35
2009-11-01,NL,53,71,60,34
2009-12-01,NL,64,66,68,32
