time,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,SK,13,13,20,15
2004-02-01,SK,13,16,18,15
2004-03-01,SK,14,14,19,14
2004-04-01,SK,15,18,14,8
2004-05-01,SK,15,14,20,0
2004-06-01,SK,15,16,18,30
2004-07-01,SK,11,11,27,0
2004-08-01,SK,14,16,19,12
2004-09-01,SK,15,13,28,9
2004-10-01,SK,17,26,24,21
2004-11-01,SK,17,21,18,26
2004-12-01,SK,18,18,29,17
2005-01-01,SK,16,16,29,12
2005-02-01,SK,19,23,20,31
2005-03-01,SK,18,31,19,27
2005-04-01,SK,19,24,16,20
2005-05-01,SK,19,34,22,19
2005-06-01,SK,18,24,15,30
2005-07-01,SK,18,26,20,24
2005-08-01,SK,18,19,20,10
2005-09-01,SK,16,18,20,20
2005-10-01,SK,21,26,21,31
2005-11-01,SK,21,23,28,13
2005-12-01,SK,23,25,28,24
2006-01-01,SK,22,28,18,18
2006-02-01,SK,24,32,25,29
2006-03-01,SK,26,36,27,32
2006-04-01,SK,23,31,21,23
2006-05-01,SK,25,32,18,32
2006-06-01,SK,25,32,28,12
2006-07-01,SK,21,28,24,26
2006-08-01,SK,24,32,23,23
2006-09-01,SK,25,30,27,25
2006-10-01,SK,28,31,24,30
2006-11-01,SK,30,39,31,25
2006-12-01,SK,32,43,31,32
2007-01-01,SK,29,37,27,32
2007-02-01,SK,34,33,24,33
2007-03-01,SK,32,41,34,27
2007-04-01,SK,28,34,26,23
2007-05-01,SK,31,38,27,31
2007-06-01,SK,34,39,30,37
2007-07-01,SK,29,37,32,34
2007-08-01,SK,30,41,28,44
2007-09-01,SK,28,41,29,37
2007-10-01,SK,31,42,38,39
2007-11-01,SK,29,48,37,40
2007-12-01,SK,34,48,32,35
2008-01-01,SK,30,38,28,37
2008-02-01,SK,29,33,29,31
2008-03-01,SK,30,35,33,30
2008-04-01,SK,30,37,27,34
2008-05-01,SK,27,33,27,32
2008-06-01,SK,26,35,29,30
2008-07-01,SK,27,38,25,40
2008-08-01,SK,27,38,24,34
2008-09-01,SK,27,36,29,37
2008-10-01,SK,33,39,30,30
2008-11-01,SK,32,50,34,43
2008-12-01,SK,37,50,37,32
2009-01-01,SK,37,41,31,40
2009-02-01,SK,36,46,32,51
2009-03-01,SK,36,40,38,41
2009-04-01,SK,30,39,30,37
2009-05-01,SK,34,35,26,36
2009-06-01,SK,34,39,26,43
2009-07-01,SK,31,40,26,43
2009-08-01,SK,34,34,28,36
2009-09-01,SK,33,36,25,31
2009-10-01,SK,36,38,29,38
2009-11-01,SK,36,46,29,37
2009-12-01,SK,40,46,35,38
2010-01-01,SK,37,40,27,47
2010-02-01,SK,39,40,27,43
2010-03-01,SK,37,37,26,41
2010-04-01,SK,34,36,26,42
2010-05-01,SK,34,35,25,39
2010-06-01,SK,31,35,23,37
2010-07-01,SK,28,33,22,35
2010-08-01,SK,31,35,21,40
2010-09-01,SK,29,33,24,33
2010-10-01,SK,31,33,26,41
2010-11-01,SK,33,42,29,36
2010-12-01,SK,35,46,29,39
2011-01-01,SK,59,52,41,58
2011-02-01,SK,62,54,41,61
2011-03-01,SK,57,56,39,65
2011-04-01,SK,58,52,41,62
2011-05-01,SK,55,53,35,60
2011-06-01,SK,58,56,40,61
2011-07-01,SK,58,57,36,66
2011-08-01,SK,57,53,37,60
2011-09-01,SK,54,50,36,55
2011-10-01,SK,61,56,47,68
2011-11-01,SK,66,79,55,72
2011-12-01,SK,69,88,67,69
2012-01-01,SK,62,60,47,74
2012-02-01,SK,64,59,46,75
2012-03-01,SK,63,57,47,68
2012-04-01,SK,63,57,46,73
2012-05-01,SK,59,55,40,67
2012-06-01,SK,58,56,41,70
2012-07-01,SK,57,54,38,66
2012-08-01,SK,60,53,37,60
2012-09-01,SK,62,55,42,61
2012-10-01,SK,67,59,44,56
2012-11-01,SK,65,73,53,63
2012-12-01,SK,72,78,61,65
2013-01-01,SK,64,57,48,66
2013-02-01,SK,70,62,52,73
2013-03-01,SK,68,59,51,66
2013-04-01,SK,59,56,46,67
2013-05-01,SK,63,59,44,67
2013-06-01,SK,62,58,41,69
2013-07-01,SK,62,54,44,59
2013-08-01,SK,63,55,46,60
2013-09-01,SK,62,51,45,59
2013-10-01,SK,66,58,45,60
2013-11-01,SK,69,71,53,56
2013-12-01,SK,79,85,70,64
2014-01-01,SK,69,61,53,74
2014-02-01,SK,70,61,52,71
2014-03-01,SK,66,55,47,65
2014-04-01,SK,68,57,51,68
2014-05-01,SK,67,58,47,67
2014-06-01,SK,64,59,50,66
2014-07-01,SK,68,58,49,62
2014-08-01,SK,71,58,45,57
2014-09-01,SK,65,56,59,56
2014-10-01,SK,71,59,65,60
2014-11-01,SK,71,72,57,59
2014-12-01,SK,79,78,71,66
2015-01-01,SK,72,59,51,72
2015-02-01,SK,76,62,54,68
2015-03-01,SK,73,63,54,64
2015-04-01,SK,70,58,49,66
2015-05-01,SK,68,56,46,65
2015-06-01,SK,68,62,48,67
2015-07-01,SK,66,66,45,63
2015-08-01,SK,69,59,50,65
2015-09-01,SK,68,48,59,64
2015-10-01,SK,75,60,57,65
2015-11-01,SK,76,75,55,64
2015-12-01,SK,90,86,64,71
2016-01-01,SK,69,56,44,63
2016-02-01,SK,72,59,50,61
2016-03-01,SK,72,54,44,61
2016-04-01,SK,63,54,40,60
2016-05-01,SK,67,56,41,61
2016-06-01,SK,65,57,39,60
2016-07-01,SK,62,57,41,55
2016-08-01,SK,65,56,44,54
2016-09-01,SK,62,56,45,52
2016-10-01,SK,73,57,44,54
2016-11-01,SK,69,70,46,61
2016-12-01,SK,80,75,66,61
2017-01-01,SK,68,59,44,63
2017-02-01,SK,68,58,43,66
2017-03-01,SK,70,59,42,65
2017-04-01,SK,71,63,40,64
2017-05-01,SK,60,55,39,58
2017-06-01,SK,62,60,37,65
2017-07-01,SK,61,60,37,58
2017-08-01,SK,67,59,37,55
2017-09-01,SK,72,62,41,64
2017-10-01,SK,71,70,42,65
2017-11-01,SK,71,77,46,64
2017-12-01,SK,86,81,66,74
2018-01-01,SK,71,75,49,69
2018-02-01,SK,76,64,55,69
2018-03-01,SK,79,67,49,81
2018-04-01,SK,65,61,38,68
2018-05-01,SK,69,63,40,75
2018-06-01,SK,69,62,38,68
2018-07-01,SK,73,68,53,68
2018-08-01,SK,71,67,56,71
2018-09-01,SK,73,63,42,69
2018-10-01,SK,72,66,44,72
2018-11-01,SK,74,82,46,72
2018-12-01,SK,86,87,71,71
2019-01-01,SK,74,59,51,80
2019-02-01,SK,72,58,52,71
2019-03-01,SK,74,70,43,81
2019-04-01,SK,70,65,42,71
2019-05-01,SK,71,73,45,82
