date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,AT,79,78,89,57,43,73,58,66,65,41,66
2004-02-01,AT,84,76,78,29,93,19,26,65,68,39,48
2004-03-01,AT,94,65,79,26,100,46,64,71,70,46,63
2004-04-01,AT,84,60,85,24,38,64,40,66,73,45,59
2004-05-01,AT,76,59,89,22,40,50,60,67,67,41,48
2004-06-01,AT,81,63,96,100,0,44,100,66,70,51,59
2004-07-01,AT,80,67,100,47,36,100,70,63,67,47,53
2004-08-01,AT,93,60,89,12,45,72,49,57,64,42,55
2004-09-01,AT,73,62,77,15,90,22,30,65,68,44,47
2004-10-01,AT,78,57,65,0,30,39,36,68,69,41,48
2004-11-01,AT,71,66,57,16,31,0,37,79,82,47,61
2004-12-01,AT,69,64,86,32,76,36,50,78,68,48,48
2005-01-01,AT,66,71,80,16,49,0,42,69,66,45,57
2005-02-01,AT,69,67,66,36,59,27,89,69,68,42,51
2005-03-01,AT,74,57,65,51,0,25,73,70,66,54,50
2005-04-01,AT,71,50,63,18,0,41,53,67,75,49,61
2005-05-01,AT,80,55,77,19,70,43,44,68,71,46,62
2005-06-01,AT,68,53,70,21,54,57,44,69,73,40,55
2005-07-01,AT,75,57,65,24,23,91,48,65,66,43,51
2005-08-01,AT,76,63,81,25,22,69,47,65,74,44,56
2005-09-01,AT,77,53,57,17,0,40,41,64,59,48,44
2005-10-01,AT,67,55,61,9,47,0,35,65,63,48,42
2005-11-01,AT,77,56,57,0,36,20,31,72,72,59,48
2005-12-01,AT,62,58,62,36,16,16,25,75,70,63,46
2006-01-01,AT,62,68,63,19,37,0,41,63,64,56,56
2006-02-01,AT,62,63,60,21,20,26,40,66,66,49,52
2006-03-01,AT,64,54,52,12,19,46,56,65,70,53,58
2006-04-01,AT,61,46,68,18,38,31,44,61,62,45,45
2006-05-01,AT,66,50,64,29,0,50,25,66,75,47,51
2006-06-01,AT,72,47,68,30,47,31,46,62,68,45,46
2006-07-01,AT,77,53,83,26,16,69,78,60,66,46,43
2006-08-01,AT,74,53,74,14,19,29,59,61,71,43,50
2006-09-01,AT,65,49,72,24,28,31,21,64,64,47,47
2006-10-01,AT,62,52,64,6,39,9,38,66,69,41,48
2006-11-01,AT,62,54,59,18,21,21,36,68,73,47,52
2006-12-01,AT,63,56,60,17,29,23,28,72,65,52,50
2007-01-01,AT,64,58,63,21,6,20,28,64,64,47,51
2007-02-01,AT,64,57,62,20,36,23,27,62,65,48,48
2007-03-01,AT,62,47,47,22,24,23,30,64,68,46,50
2007-04-01,AT,60,40,50,25,33,32,37,58,66,45,50
2007-05-01,AT,62,43,56,27,26,30,42,63,64,45,51
2007-06-01,AT,67,45,63,25,47,32,47,58,61,43,49
2007-07-01,AT,65,47,67,22,34,73,49,57,62,42,50
2007-08-01,AT,63,47,58,19,24,40,52,56,61,43,44
2007-09-01,AT,67,46,56,22,26,17,36,60,63,46,49
2007-10-01,AT,69,44,52,16,18,12,40,63,64,45,47
2007-11-01,AT,59,55,55,16,29,15,43,66,64,50,48
2007-12-01,AT,59,49,55,20,14,5,26,64,59,57,47
2008-01-01,AT,58,53,54,23,35,23,37,58,56,47,45
2008-02-01,AT,58,45,54,22,14,14,36,58,59,45,46
2008-03-01,AT,63,42,41,14,22,27,34,56,57,47,47
2008-04-01,AT,63,40,44,12,7,32,40,58,62,48,56
2008-05-01,AT,61,46,53,21,32,34,52,55,60,47,49
2008-06-01,AT,65,45,56,9,16,56,62,55,56,45,49
2008-07-01,AT,65,44,57,23,23,33,43,52,58,43,45
2008-08-01,AT,60,39,58,21,20,37,42,54,56,45,43
2008-09-01,AT,62,38,46,15,19,12,31,53,55,44,45
