time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,AT,87,95,0,0,0,62,0,67,65,41,65
2004-02-01,AT,88,82,0,0,0,66,25,63,71,39,51
2004-03-01,AT,94,69,0,0,90,0,0,70,70,46,63
2004-04-01,AT,87,40,0,0,0,0,51,65,73,42,53
2004-05-01,AT,80,56,0,0,0,23,0,65,67,40,44
2004-06-01,AT,92,66,52,0,0,100,0,64,70,52,61
2004-07-01,AT,85,97,0,78,0,0,100,56,66,49,55
2004-08-01,AT,100,86,0,0,0,0,0,58,63,42,52
2004-09-01,AT,82,86,0,0,0,0,0,67,69,45,46
2004-10-01,AT,83,39,100,0,0,0,0,65,71,44,46
2004-11-01,AT,80,76,0,0,0,19,23,76,81,48,64
2004-12-01,AT,78,100,0,0,0,0,0,78,68,50,48
2005-01-01,AT,71,60,0,0,0,19,0,71,65,47,58
2005-02-01,AT,73,36,0,0,0,0,0,70,69,43,50
2005-03-01,AT,72,63,0,0,0,0,0,67,66,55,44
2005-04-01,AT,70,52,0,0,0,0,0,71,74,50,54
2005-05-01,AT,85,24,40,0,0,22,0,63,72,48,60
2005-06-01,AT,72,71,91,0,0,14,25,67,73,42,54
2005-07-01,AT,81,60,0,0,0,0,0,64,66,46,52
2005-08-01,AT,81,35,0,0,100,0,0,65,74,44,56
2005-09-01,AT,83,41,42,0,0,33,0,63,60,50,43
2005-10-01,AT,73,58,0,0,0,0,24,65,65,48,43
2005-11-01,AT,80,56,0,0,71,0,0,74,73,58,49
2005-12-01,AT,68,55,0,0,0,13,0,74,71,62,46
2006-01-01,AT,69,53,0,0,0,0,10,64,64,55,54
2006-02-01,AT,72,50,0,37,0,0,0,63,68,50,52
2006-03-01,AT,72,47,65,0,0,0,0,66,70,53,59
2006-04-01,AT,65,55,0,0,15,0,0,60,62,45,45
2006-05-01,AT,71,31,0,0,0,0,10,65,75,47,50
2006-06-01,AT,77,35,25,0,0,0,0,61,68,46,47
2006-07-01,AT,82,53,36,100,0,27,0,58,68,45,43
2006-08-01,AT,80,58,49,0,0,0,0,63,71,44,49
2006-09-01,AT,72,32,0,0,0,20,10,60,64,47,45
2006-10-01,AT,68,55,0,0,56,11,0,64,68,42,46
2006-11-01,AT,68,37,32,0,0,10,0,68,73,50,52
