geo,resid_TOTAL_mean,resid_TOTAL_sd,resid_TOTAL_max,resid_TOTAL_norm
AT,8287680.658097686,3565984.237537208,16932375,8644694.341902314
BE,2579910.199488491,1279575.0008520903,8649988,6070077.800511509
CY,1192556.325925926,780086.3099014321,2847105,1654548.674074074
CZ,3556642.951417004,1625390.8046633487,12233610,8676967.048582995
DE,26941107.09207161,10327634.759061066,53511362,26570254.90792839
DK,2297093.9483204135,1772701.2871132276,8173708,5876614.051679587
ES,26071700.35549872,15382505.031180296,72418691,46346990.644501284
FI,1428946.4168797955,575844.2040733717,3370119,1941172.5831202045
FR,34509804.92640693,21014458.946876246,89610216,55100411.07359307
GR,6424275.91740413,6578702.207256453,30877301,24453025.08259587
HR,4694201.242553191,6620105.790328842,27746323,23052121.75744681
HU,1871041.111969112,1035766.0920661683,5105874,3234832.888030888
IT,28094060.31713555,20398888.3961567,84573606,56479545.68286445
LT,420335.533632287,260131.25461562406,1283405,863069.466367713
LU,216154.42966751917,142501.07566048193,737842,521687.5703324808
LV,290789.0723404255,144564.919018243,784592,493802.9276595745
MT,651167.5384615385,273939.4967078836,1166568,639494.5384615385
NL,6972557.780051151,3943932.2291225987,19377237,12404679.219948849
PL,5294101.4510638295,2692311.0218144828,13422733,8128631.5489361705
PT,3824652.5933503835,2152725.6781438105,11814839,7990186.406649617
RO,1713642.7287449392,951812.6850135922,5057673,3344030.271255061
SE,3341923.405128205,2350232.7035576142,12995092,9653168.594871795
SI,834823.5092250922,529428.7580331861,2974937,2140113.4907749076
SK,973353.3914893616,406822.21172134404,2387244,1413890.6085106384
