month_end,geo,resid_DOM,resid_FOR,resid_TOTAL,share_FOR,month,year,resid_DOM_STD,resid_FOR_STD,resid_TOTAL_STD
1990-01-01,AT,1511812,6005367,7517179,0.7988857256159525,1,1990,-0.9937463580267304,0.03283478344921345,-0.21606984405231733
1990-02-01,AT,2034830,6972301,9007131,0.7740867763553122,2,1990,-0.39230689752404163,0.3717789620111526,0.20175365172090357
1990-03-01,AT,2074127,6324098,8398225,0.7530279314974295,3,1990,-0.3471176947062148,0.1445611442734532,0.030999672050894846
1990-04-01,AT,1466807,3906249,5373056,0.7270069398122782,4,1990,-1.0454994199097316,-0.7029794771048479,-0.8173408697147317
1990-05-01,AT,1694836,3321295,5016131,0.6621228592315472,5,1990,-0.7832796899215331,-0.9080263086636932,-0.9174324506709349
1990-06-01,AT,2107858,6035626,8143484,0.7411601717397615,6,1990,-0.3083290594351224,0.0434416210400994,-0.040436706528258086
1990-07-01,AT,3190277,10741628,13931905,0.7710092769079319,7,1990,0.9363881384392527,1.693059880611945,1.582795650773939
1990-08-01,AT,3484895,11776405,15261300,0.7716514975788432,8,1990,1.275181241113312,2.0557854029948457,1.9555945504454995
1990-09-01,AT,2163059,6940741,9103800,0.7624004261956545,9,1990,-0.24485120655203055,0.3607160784271492,0.22886229650469628
1990-10-01,AT,1443308,3202324,4645632,0.6893193434176448,10,1990,-1.0725218663309881,-0.9497298043187146,-1.0213305543417126
1990-11-01,AT,991946,1258847,2250793,0.5592904367482927,11,1990,-1.5915612067961624,-1.6309864519482549,-1.692909237946315
1990-12-01,AT,1038391,4155226,5193617,0.8000640016389349,12,1990,-1.5381522309233486,-0.6157043324250496,-0.8676604976343232
1991-01-01,AT,1566378,6005743,7572121,0.793138804834207,1,1991,-0.9309987172155352,0.03296658459710906,-0.20066259703713005
1991-02-01,AT,2068050,7506810,9574860,0.7840125077546826,2,1991,-0.3541058817312786,0.5591430571189506,0.3609604687404015
1991-03-01,AT,2013298,7249049,9262347,0.7826363015766954,3,1991,-0.41706741143282466,0.4687888132819318,0.27332323335659275
1991-04-01,AT,1419272,2828132,4247404,0.6658495400955501,4,1991,-1.1001618306776122,-1.080897184992524,-1.1330046318118447
1991-05-01,AT,1683011,3988670,5671681,0.7032606382481666,5,1991,-0.7968777336225994,-0.6740880345231891,-0.7335982112765552
1991-06-01,AT,2130681,5387322,7518003,0.7165894985676382,6,1991,-0.2820839726368614,-0.1838116007293486,-0.2158387718026629
1991-07-01,AT,3297797,11103388,14401185,0.7710051638111725,7,1991,1.0600297163452694,1.819869410565972,1.7143946620819925
1991-08-01,AT,3564716,12655353,16220069,0.7802280619151497,8,1991,1.3669706234611188,2.363887411879278,2.2244597321553767
1991-09-01,AT,2153907,7089636,9243543,0.7669825303998694,9,1991,-0.255375459909507,0.41290898245884106,0.2680500748826824
1991-10-01,AT,1430132,3461441,4891573,0.7076335158444942,10,1991,-1.0876734793377745,-0.8589002350653488,-0.9523619376520732
1991-11-01,AT,997455,1254992,2252447,0.5571682707739627,11,1991,-1.5852261858448582,-1.6323377642491526,-1.6924454108820814
1991-12-01,AT,1035339,4496846,5532185,0.8128517032601043,12,1991,-1.541661848629535,-0.49595457672266496,-0.7727167240651425
1992-01-01,AT,1779380,6662236,8441616,0.7892133449330081,1,1992,-0.6860591396751948,0.26309033721793235,0.04316770115860827
1992-02-01,AT,2424366,7469889,9894255,0.7549723551697425,2,1992,0.05563623576463179,0.5462009555725315,0.4505276060928047
1992-03-01,AT,1968375,6477675,8446050,0.7669472712096187,3,1992,-0.46872617821362816,0.1983952530244196,0.04441111663793811
1992-04-01,AT,1476313,3795079,5271392,0.719938680333392,4,1992,-1.0345680876964263,-0.7419484494760032,-0.8458502497983108
1992-05-01,AT,1780931,3515358,5296289,0.663739837459776,5,1992,-0.684275582315334,-0.840000441206074,-0.8388684466433999
1992-06-01,AT,2248682,5942304,8190986,0.7254687042561176,6,1992,-0.1463898707536035,0.01072899677437156,-0.02711584001965946
1992-07-01,AT,3330645,10948452,14279097,0.7667468047874456,7,1992,1.0978029543573309,1.7655589247937553,1.6801578309948428
1992-08-01,AT,3728077,12503618,16231695,0.7703211525352096,8,1992,1.5548260160234775,2.310698988539013,2.227719982124409
1992-09-01,AT,2263441,7049507,9312948,0.7569576250184152,9,1992,-0.12941790229829375,0.39884236473569545,0.2875131446487825
1992-10-01,AT,1450679,3215428,4666107,0.6891029288441093,10,1992,-1.0640456565956342,-0.9451363941005656,-1.0155888015362822
1992-11-01,AT,960468,1093969,2054437,0.5324908965327241,11,1992,-1.6277590266373605,-1.6887819563704134,-1.7479728576710085
1992-12-01,AT,1107751,4555742,5663493,0.8044049846976062,12,1992,-1.458392373747369,-0.47530946925867673,-0.7358943515437525
1993-01-01,AT,1726666,7374884,9101550,0.8102887969631546,1,1993,-0.7466770911050477,0.5128983809559836,0.22823133465794568
1993-02-01,AT,2304623,7658950,9963573,0.7686951257345132,2,1993,-0.08206106207019123,0.6124734471211777,0.46996627866749713
1993-03-01,AT,2055604,6100246,8155850,0.7479595627678293,3,1993,-0.36841803834045167,0.06609319065981752,-0.0369689402185168
1993-04-01,AT,1473225,3680001,5153226,0.7141159731787428,4,1993,-1.038119103252358,-0.7822873125013502,-0.8789872442797024
1993-05-01,AT,1835160,3495587,5330747,0.6557405556857229,5,1993,-0.6219154713753658,-0.8469308680545953,-0.82920547628103
1993-06-01,AT,2242291,5709577,7951868,0.7180170747301138,6,1993,-0.15373913902366818,-0.07084995467855534,-0.09417109996246369
1993-07-01,AT,3200868,10317118,13517986,0.7632141355968264,7,1993,0.9485671558462712,1.5442542814279998,1.4667213855983119
1993-08-01,AT,3631186,11643574,15274760,0.7622754138199226,8,1993,1.4434071532547659,2.009223492686013,1.9593691044265054
1993-09-01,AT,2255288,6370548,8625836,0.7385426757476029,9,1993,-0.13879336532533762,0.16084349352810975,0.09482805289567278
1993-10-01,AT,1464516,2948756,4413272,0.668156415466801,10,1993,-1.0481339330699129,-1.0386142550357167,-1.0864906853243654
1993-11-01,AT,1010279,1140694,2150973,0.5303153503089068,11,1993,-1.5704793518133593,-1.6724032099996098,-1.720901509743046
1993-12-01,AT,1105905,4094224,5200129,0.7873312373596886,12,1993,-1.4605151634870872,-0.6370876665312404,-0.8658343538360832
1994-01-01,AT,1779723,7270857,9050580,0.8033581273244367,1,1994,-0.6856647101623436,0.4764332798598769,0.2139379456228888
1994-02-01,AT,2362907,7307791,9670698,0.7556632416812106,2,1994,-0.01503794333252118,0.4893799383608776,0.3878360782821276
1994-03-01,AT,2111558,6620714,8732272,0.7581891631410473,3,1994,-0.30407428043352025,0.24853542428463096,0.12467563294933796
1994-04-01,AT,1409119,2839941,4249060,0.6683692393141071,4,1994,-1.1118371742460624,-1.0767577175576857,-1.1325402438926362
1994-05-01,AT,1833231,3722846,5556077,0.670049389164333,5,1994,-0.6241337061575525,-0.7672686418056396,-0.7660167505351134
1994-06-01,AT,2256576,5168112,7424688,0.6960712692573748,6,1994,-0.1373122422566718,-0.26065237102242206,-0.24200686279356604
1994-07-01,AT,3212288,9780808,12993096,0.7527696247299335,7,1994,0.9616994737377026,1.3562588728431806,1.319527801713458
1994-08-01,AT,3615151,10355577,13970728,0.7412338855927909,8,1994,1.4249678610140386,1.557735505754907,1.593682687119005
1994-09-01,AT,2189617,5995663,8185280,0.732493329489034,9,1994,-0.2143110928426928,0.029433192121609855,-0.028715959263018974
1994-10-01,AT,1437347,2984372,4421719,0.6749347934592859,10,1994,-1.0793766602846502,-1.0261296016222863,-1.0841219143379202
1994-11-01,AT,1020834,1179736,2200570,0.5361047365000886,11,1994,-1.5583417322560862,-1.658717623786471,-1.7069931476482507
1994-12-01,AT,1061145,4053578,5114723,0.7925312866405473,12,1994,-1.511986490003766,-0.6513355108327424,-0.8897845438287861
1995-01-01,AT,1857992,6966464,8824456,0.7894496839238588,1,1995,-0.5956600351146685,0.3697328894040605,0.15052656045194113
1995-02-01,AT,2400755,7169037,9569792,0.7491319560550532,2,1995,0.02848499603305661,0.44074180943772123,0.3595392622340317
1995-03-01,AT,2040407,5401698,7442105,0.725829318452239,3,1995,-0.38589368063432944,-0.17877231003214852,-0.2371226572447415
1995-04-01,AT,1507393,3509179,5016572,0.6995173197952705,4,1995,-0.9988279440829683,-0.8421663967721562,-0.9173087821489718
1995-05-01,AT,1836207,3167307,5003514,0.6330165159925605,5,1995,-0.6207114839119394,-0.9620044872864284,-0.9209706042800249
1995-06-01,AT,2277725,5321776,7599501,0.7002796630989324,6,1995,-0.1129921554715681,-0.20678776572925642,-0.19298449243089388
1995-07-01,AT,3257366,8984622,12241988,0.7339185432954191,7,1995,1.0135364812604652,1.0771678389644297,1.1088964724738366
1995-08-01,AT,3558375,9533784,13092159,0.7282056381991694,8,1995,1.3596788522045893,1.2696683229555106,1.3473077899021932
1995-09-01,AT,2099348,5597970,7697318,0.727262404905189,9,1995,-0.31811505113880734,-0.10997211083064261,-0.16555391689151466
1995-10-01,AT,1471252,2914737,4385989,0.6645563862563266,10,1995,-1.0403879354064556,-1.0505391041055587,-1.0941415884643195
1995-11-01,AT,1029119,1120850,2149969,0.5213330982911847,11,1995,-1.5488144771133094,-1.679359225900781,-1.7211830589404407
1995-12-01,AT,1116278,4152395,5268673,0.7881291930624656,12,1995,-1.448586833059082,-0.6166966969189126,-0.846612732136673
1996-01-01,AT,1750594,6426515,8177109,0.7859152910888187,1,1996,-0.7191613203076594,0.1804618840713899,-0.0310073322629297
1996-02-01,AT,2366056,7104057,9470113,0.7501554627700853,2,1996,-0.011416781420076549,0.41796404722959246,0.3315865307130304
1996-03-01,AT,1989912,6053625,8043537,0.752607341770169,3,1996,-0.4439599146034916,0.04975089992566589,-0.06846459261589453
1996-04-01,AT,1408173,3089008,4497181,0.6868765121973076,4,1996,-1.112925017742148,-0.9894510247307848,-1.0629602952803674
1996-05-01,AT,1758712,3309099,5067811,0.6529641693425425,5,1996,-0.7098261051900903,-0.9123014331310729,-0.9029399581197923
1996-06-01,AT,2237629,4823909,7061538,0.6831244128403756,6,1996,-0.15910016056568688,-0.38130755854665344,-0.34384410485911254
1996-07-01,AT,3160428,8711466,11871894,0.7337890651651707,7,1996,0.9020635712990305,0.9814171092980151,1.005111941935474
1996-08-01,AT,3303026,8935725,12238751,0.7301173951492272,8,1996,1.066042754020777,1.0600277306435484,1.107988728696978
1996-09-01,AT,1943176,5276261,7219437,0.7308410614290284,9,1996,-0.49770352309508015,-0.222742364789013,-0.29956488501908024
1996-10-01,AT,1381727,3033387,4415114,0.6870461328971347,10,1996,-1.1433363381411668,-1.0089481301752037,-1.0859741378924923
1996-11-01,AT,1027258,1206717,2233975,0.5401658478720666,11,1996,-1.5509545159570883,-1.6492598398200577,-1.6976254674301603
1996-12-01,AT,1090563,4441040,5531603,0.8028486498398385,12,1996,-1.478157547120217,-0.515516531136128,-0.7728799328628353
1997-01-01,AT,1690599,6172316,7862915,0.7849908081163284,1,1997,-0.7881519868485029,0.09135624578970121,-0.11911596625313299
1997-02-01,AT,2176430,6659249,8835679,0.7536771084599158,2,1997,-0.229475355192457,0.2620432892690915,0.15367379814353313
1997-03-01,AT,1979055,6339081,8318136,0.7620795091592636,3,1997,-0.45644481612251714,0.1498132096961124,0.008540515008935448
1997-04-01,AT,1328930,2363728,3692658,0.6401156023655589,4,1997,-1.204049734613488,-1.24368702618218,-1.288570658761848
1997-05-01,AT,1818139,3484147,5302286,0.6571028043376008,5,1997,-0.6414886047230064,-0.8509409880863126,-0.8371867230011939
1997-06-01,AT,2232786,4284642,6517428,0.6574130163002951,6,1997,-0.16466932129670286,-0.5703394990312793,-0.4964275050526538
1997-07-01,AT,3011232,7568765,10579997,0.7153844183509693,7,1997,0.7304970826711837,0.5808604510494619,0.6428285121881152
1997-08-01,AT,3401005,9240012,12641017,0.7309547958047996,8,1997,1.1787127518040137,1.1666909643927772,1.2207951723614119
1997-09-01,AT,2077116,5341980,7419096,0.7200311196943671,9,1997,-0.34368052323708265,-0.19970555723967448,-0.24357501330335685
1997-10-01,AT,1481498,3025976,4507474,0.6713241163454299,10,1997,-1.0286056473928298,-1.0115459448216246,-1.060073855152099
1997-11-01,AT,1071634,1126018,2197652,0.5123732055848697,11,1997,-1.4999247665043594,-1.677547661187152,-1.7078114350566145
1997-12-01,AT,1209529,4710723,5920252,0.7956963656276793,12,1997,-1.3413537528757304,-0.4209832094129087,-0.6638920702949361
1998-01-01,AT,1925370,7678324,9603694,0.7995177688918451,1,1998,-0.5181793595552228,0.6192647115874794,0.36904631491338225
1998-02-01,AT,2671262,7390543,10061805,0.7345146323149773,2,1998,0.33955188884018916,0.5183874080168807,0.4975132316141659
1998-03-01,AT,1943864,5379918,7323782,0.7345819414067759,3,1998,-0.49691236418883633,-0.18640696163099502,-0.27030367884166195
1998-04-01,AT,1504330,3694209,5198539,0.7106244658354972,4,1998,-1.0023502111321323,-0.7773069116787418,-0.8662802335411203
1998-05-01,AT,1919636,3248574,5168210,0.628568498571072,5,1998,-0.5247731170674355,-0.9335175620576195,-0.8747853188078308
1998-06-01,AT,2206008,4790503,6996511,0.6846988448956915,6,1998,-0.19546242186559531,-0.3930175296812295,-0.36207946308517974
1998-07-01,AT,3073950,7714863,10788813,0.715079870232249,7,1998,0.8026190365691521,0.6320729087761963,0.7013862584063698
1998-08-01,AT,3542888,10253031,13795919,0.7431930413624492,8,1998,1.3418697272322075,1.5217895469461231,1.5446614384662827
1998-09-01,AT,2166003,5570519,7736522,0.7200288450029613,9,1998,-0.2414657823950801,-0.11959464623192521,-0.15456003767373225
1998-10-01,AT,1534238,3007844,4542082,0.6622170185390752,10,1998,-0.9679577975159387,-1.0179018448579096,-1.0503688206666124
1998-11-01,AT,1116715,1233547,2350262,0.524855101261051,11,1998,-1.4480843091607847,-1.6398549866337837,-1.6650153961976772
1998-12-01,AT,1304741,4841909,6146650,0.7877313658659595,12,1998,-1.2318656398215295,-0.3749979291261191,-0.6004038479924286
1999-01-01,AT,1979144,7136404,9115548,0.782882608922689,1,1999,-0.45634247143842455,0.42930280183326036,0.23215675862719673
1999-02-01,AT,2258868,7589813,9848681,0.7706425865554991,2,1999,-0.13467657915621986,0.5882385110518733,0.4377474037799995
1999-03-01,AT,2134590,5969218,8103808,0.7365942036139059,3,1999,-0.2775888561186823,0.020163294897941556,-0.05156294752011441
1999-04-01,AT,1468930,3328793,4797723,0.6938276761705501,4,1999,-1.0430580967150285,-0.9053979974750729,-0.9786800573487593
1999-05-01,AT,1907625,3327514,5235139,0.6356113944634517,5,1999,-0.5385850496588526,-0.9058463316988986,-0.8560165875006439
1999-06-01,AT,2386401,4656314,7042715,0.6611532626267,6,1999,0.011978753387381712,-0.4400554664763448,-0.34912259145528435
1999-07-01,AT,3307379,7875777,11183156,0.7042535219932549,7,1999,1.0710484440191483,0.688478892585966,0.8119708750877792
1999-08-01,AT,3629860,9862539,13492399,0.7309700076317044,8,1999,1.4418823324558132,1.3849084462970522,1.4595460874770643
1999-09-01,AT,2276343,5403556,7679899,0.7035972738703986,9,1999,-0.11458137292568003,-0.17812101606196226,-0.1704386832953141
1999-10-01,AT,1626731,2989116,4615847,0.6475769235852055,10,1999,-0.8615963720577801,-1.0244666637350077,-1.0296830870552534
1999-11-01,AT,1192154,1254475,2446629,0.5127360952559624,11,1999,-1.3613339650792,-1.632518990827509,-1.6379914405150928
1999-12-01,AT,1298192,4437652,5735844,0.7736702741566891,12,1999,-1.2393965986543654,-0.5167041436070597,-0.7156051423996402
2000-01-01,AT,1925370,7678324,9603694,0.7995177688918451,1,2000,-0.5181793595552228,0.6192647115874794,0.36904631491338225
