date,country_code,yhat,h,bic,aicc,rmse,mae,acf
2022-12-01,AT,9149374.223847313,1,-2123.975875385315,-2182.3926710936603,0.20952586966910983,0.11669596319294703,0.012758099407216103
2023-01-01,AT,11948747.270713158,2,-2123.975875385315,-2182.3926710936603,0.20952586966910983,0.11669596319294703,0.012758099407216103
2023-02-01,AT,12362991.358491683,3,-2123.975875385315,-2182.3926710936603,0.20952586966910983,0.11669596319294703,0.012758099407216103
2023-03-01,AT,9889691.642426576,4,-2123.975875385315,-2182.3926710936603,0.20952586966910983,0.11669596319294703,0.012758099407216103
2022-12-01,BE,2127450.3662363957,1,-2032.4582078404903,-2090.833630210118,0.2143986866228504,0.11351313032036743,0.008549206200271017
2023-01-01,BE,1314301.291019109,2,-2032.4582078404903,-2090.833630210118,0.2143986866228504,0.11351313032036743,0.008549206200271017
2023-02-01,BE,1590845.0943540148,3,-2032.4582078404903,-2090.833630210118,0.2143986866228504,0.11351313032036743,0.008549206200271017
2023-03-01,BE,1887661.7223855953,4,-2032.4582078404903,-2090.833630210118,0.2143986866228504,0.11351313032036743,0.008549206200271017
2022-11-01,CY,892908.6162595754,1,-909.5995807056544,-930.94062200308,0.45724299759711734,0.22020494846921593,-0.061613606211232276
2022-12-01,CY,368942.78063716117,2,-909.5995807056544,-930.94062200308,0.45724299759711734,0.22020494846921593,-0.061613606211232276
2023-01-01,CY,241032.8941820065,3,-909.5995807056544,-930.94062200308,0.45724299759711734,0.22020494846921593,-0.061613606211232276
2023-02-01,CY,220952.87913494324,4,-909.5995807056544,-930.94062200308,0.45724299759711734,0.22020494846921593,-0.061613606211232276
2022-12-01,CZ,2624837.15283838,1,-1213.5209780725177,-1261.0976582034134,0.24200967502137652,0.10574476111988106,0.057318716858740314
2023-01-01,CZ,2513196.652551795,2,-1213.5209780725177,-1261.0976582034134,0.24200967502137652,0.10574476111988106,0.057318716858740314
2023-02-01,CZ,2830648.700542883,3,-1213.5209780725177,-1261.0976582034134,0.24200967502137652,0.10574476111988106,0.057318716858740314
2023-03-01,CZ,2708594.429276107,4,-1213.5209780725177,-1261.0976582034134,0.24200967502137652,0.10574476111988106,0.057318716858740314
2022-12-01,DE,23648590.709495094,1,-2552.6250498007685,-2622.375366168131,0.13407711319942162,0.06773579998511814,-0.006777081202636698
2023-01-01,DE,20908641.44718891,2,-2552.6250498007685,-2622.375366168131,0.13407711319942162,0.06773579998511814,-0.006777081202636698
2023-02-01,DE,22714569.649467025,3,-2552.6250498007685,-2622.375366168131,0.13407711319942162,0.06773579998511814,-0.006777081202636698
2023-03-01,DE,25682175.160117194,4,-2552.6250498007685,-2622.375366168131,0.13407711319942162,0.06773579998511814,-0.006777081202636698
2022-12-01,DK,1703608.773368127,1,-1109.064345332912,-1149.2874027223768,0.15655247028564917,0.10715253701340634,0.06034267305327578
2023-01-01,DK,1074884.6914325699,2,-1109.064345332912,-1149.2874027223768,0.15655247028564917,0.10715253701340634,0.06034267305327578
2023-02-01,DK,1241211.767994063,3,-1109.064345332912,-1149.2874027223768,0.15655247028564917,0.10715253701340634,0.06034267305327578
2023-03-01,DK,1554103.3162558968,4,-1109.064345332912,-1149.2874027223768,0.15655247028564917,0.10715253701340634,0.06034267305327578
2022-12-01,GR,1615070.9467806125,1,-1652.6044608057186,-1712.4939857659126,0.25961647775337954,0.1144470513122058,-0.002638739858625197
2023-01-01,GR,1292637.4791739914,2,-1652.6044608057186,-1712.4939857659126,0.25961647775337954,0.1144470513122058,-0.002638739858625197
2023-02-01,GR,1214240.1084440676,3,-1652.6044608057186,-1712.4939857659126,0.25961647775337954,0.1144470513122058,-0.002638739858625197
2023-03-01,GR,1605930.3504051461,4,-1652.6044608057186,-1712.4939857659126,0.25961647775337954,0.1144470513122058,-0.002638739858625197
2022-12-01,ES,21603351.47512413,1,-2352.2695262930256,-2410.6034609219932,0.1641129089677617,0.08235906812700824,-0.41629524049917077
2023-01-01,ES,21213175.438417215,2,-2352.2695262930256,-2410.6034609219932,0.1641129089677617,0.08235906812700824,-0.41629524049917077
2023-02-01,ES,23046080.78627929,3,-2352.2695262930256,-2410.6034609219932,0.1641129089677617,0.08235906812700824,-0.41629524049917077
2023-03-01,ES,28642178.918797582,4,-2352.2695262930256,-2410.6034609219932,0.1641129089677617,0.08235906812700824,-0.41629524049917077
2022-12-01,FI,1328319.1679839247,1,-2550.0890632133082,-2600.823730297339,0.11642864056530813,0.06191624289969884,0.009330165201389786
2023-01-01,FI,1281411.1969242694,2,-2550.0890632133082,-2600.823730297339,0.11642864056530813,0.06191624289969884,0.009330165201389786
2023-02-01,FI,1445496.3208480116,3,-2550.0890632133082,-2600.823730297339,0.11642864056530813,0.06191624289969884,0.009330165201389786
2023-03-01,FI,1631827.6646024948,4,-2550.0890632133082,-2600.823730297339,0.11642864056530813,0.06191624289969884,0.009330165201389786
2022-12-01,FR,19578088.67596378,1,-769.3512690767014,-808.8470227766793,0.24940620230051455,0.12546362188838853,-0.031887986470447396
2023-01-01,FR,18742635.98649081,2,-769.3512690767014,-808.8470227766793,0.24940620230051455,0.12546362188838853,-0.031887986470447396
2023-02-01,FR,19548085.504633337,3,-769.3512690767014,-808.8470227766793,0.24940620230051455,0.12546362188838853,-0.031887986470447396
2023-03-01,FR,21499727.231357392,4,-769.3512690767014,-808.8470227766793,0.24940620230051455,0.12546362188838853,-0.031887986470447396
2022-12-01,HR,646617.1764751535,1,-1082.8870869153961,-1132.808984858306,0.2678161028432059,0.14374190978377716,-0.011118712227855543
2023-01-01,HR,534507.5170737887,2,-1082.8870869153961,-1132.808984858306,0.2678161028432059,0.14374190978377716,-0.011118712227855543
2023-02-01,HR,552784.8077230952,3,-1082.8870869153961,-1132.808984858306,0.2678161028432059,0.14374190978377716,-0.011118712227855543
2023-03-01,HR,907135.9104097099,4,-1082.8870869153961,-1132.808984858306,0.2678161028432059,0.14374190978377716,-0.011118712227855543
2022-12-01,HU,1461902.855898398,1,-1377.2460892726403,-1425.5025074669961,0.19662930204476922,0.1008221893058343,0.029370608193765878
2023-01-01,HU,1190367.1234846492,2,-1377.2460892726403,-1425.5025074669961,0.19662930204476922,0.1008221893058343,0.029370608193765878
2023-02-01,HU,1164965.4078828937,3,-1377.2460892726403,-1425.5025074669961,0.19662930204476922,0.1008221893058343,0.029370608193765878
2023-03-01,HU,1481002.483246222,4,-1377.2460892726403,-1425.5025074669961,0.19662930204476922,0.1008221893058343,0.029370608193765878
2022-12-01,IT,14588535.618571103,1,-2552.9625429922035,-2611.337965361831,0.13712894075003745,0.08111909242364125,-0.05016837278348754
2023-01-01,IT,15375621.821907734,2,-2552.9625429922035,-2611.337965361831,0.13712894075003745,0.08111909242364125,-0.05016837278348754
2023-02-01,IT,15826598.23344659,3,-2552.9625429922035,-2611.337965361831,0.13712894075003745,0.08111909242364125,-0.05016837278348754
2023-03-01,IT,17675631.88071149,4,-2552.9625429922035,-2611.337965361831,0.13712894075003745,0.08111909242364125,-0.05016837278348754
2022-12-01,LT,492678.2673902311,1,-1309.8375611685592,-1355.734529831357,0.1374524208045257,0.0801574354819169,0.019744553881011997
2023-01-01,LT,433058.00452946173,2,-1309.8375611685592,-1355.734529831357,0.1374524208045257,0.0801574354819169,0.019744553881011997
2023-02-01,LT,400750.9992487607,3,-1309.8375611685592,-1355.734529831357,0.1374524208045257,0.0801574354819169,0.019744553881011997
2023-03-01,LT,455407.0389791479,4,-1309.8375611685592,-1355.734529831357,0.1374524208045257,0.0801574354819169,0.019744553881011997
2022-12-01,LU,115954.19420386205,1,-1979.0101458515967,-2037.426941559942,0.19442538523975922,0.11198720078843671,0.007262430293537407
2023-01-01,LU,97039.16871834068,2,-1979.0101458515967,-2037.426941559942,0.19442538523975922,0.11198720078843671,0.007262430293537407
2023-02-01,LU,104119.9164083564,3,-1979.0101458515967,-2037.426941559942,0.19442538523975922,0.11198720078843671,0.007262430293537407
2023-03-01,LU,125303.99221906735,4,-1979.0101458515967,-2037.426941559942,0.19442538523975922,0.11198720078843671,0.007262430293537407
2022-12-01,LV,224970.30879595183,1,-1415.893801638718,-1462.62218299837,0.12570016567387574,0.0766001021159595,-0.020280222263490695
2023-01-01,LV,209632.58589504677,2,-1415.893801638718,-1462.62218299837,0.12570016567387574,0.0766001021159595,-0.020280222263490695
2023-02-01,LV,200816.092332618,3,-1415.893801638718,-1462.62218299837,0.12570016567387574,0.0766001021159595,-0.020280222263490695
2023-03-01,LV,231823.19356782045,4,-1415.893801638718,-1462.62218299837,0.12570016567387574,0.0766001021159595,-0.020280222263490695
2022-12-01,MT,473654.6916617766,1,-642.4828997238749,-660.1331867669281,0.3087763192538335,0.15943360404854934,0.018743143106914942
2023-01-01,MT,401333.93570045696,2,-642.4828997238749,-660.1331867669281,0.3087763192538335,0.15943360404854934,0.018743143106914942
2023-02-01,MT,387250.6221325566,3,-642.4828997238749,-660.1331867669281,0.3087763192538335,0.15943360404854934,0.018743143106914942
2023-03-01,MT,422307.7468680363,4,-642.4828997238749,-660.1331867669281,0.3087763192538335,0.15943360404854934,0.018743143106914942
2022-12-01,NL,6251956.49944413,1,-2501.091203883643,-2563.269847610129,0.13732882314120756,0.08507674197120323,-0.0480894556373885
2023-01-01,NL,5186777.685867834,2,-2501.091203883643,-2563.269847610129,0.13732882314120756,0.08507674197120323,-0.0480894556373885
2023-02-01,NL,5438668.47610172,3,-2501.091203883643,-2563.269847610129,0.13732882314120756,0.08507674197120323,-0.0480894556373885
2023-03-01,NL,6380156.732802277,4,-2501.091203883643,-2563.269847610129,0.13732882314120756,0.08507674197120323,-0.0480894556373885
2022-12-01,PL,5138813.337056457,1,-1325.5302151728786,-1372.2585965325304,0.17965751301870905,0.08774400196033798,0.0337820487658008
2023-01-01,PL,4842528.701507726,2,-1325.5302151728786,-1372.2585965325304,0.17965751301870905,0.08774400196033798,0.0337820487658008
2023-02-01,PL,5333040.576487118,3,-1325.5302151728786,-1372.2585965325304,0.17965751301870905,0.08774400196033798,0.0337820487658008
2023-03-01,PL,4971382.623298357,4,-1325.5302151728786,-1372.2585965325304,0.17965751301870905,0.08774400196033798,0.0337820487658008
2022-12-01,PT,3356643.8275629757,1,-2244.946776437792,-2303.3221988074192,0.1705639215743771,0.07721718112201677,0.022213401107979563
2023-01-01,PT,2784765.5581807108,2,-2244.946776437792,-2303.3221988074192,0.1705639215743771,0.07721718112201677,0.022213401107979563
2023-02-01,PT,2977683.2088067145,3,-2244.946776437792,-2303.3221988074192,0.1705639215743771,0.07721718112201677,0.022213401107979563
2023-03-01,PT,3691341.398300617,4,-2244.946776437792,-2303.3221988074192,0.1705639215743771,0.07721718112201677,0.022213401107979563
2022-12-01,RO,1127401.1319111716,1,-1343.767605306357,-1397.850066007679,0.17630321925786022,0.10161209299128875,0.012571076529802348
2023-01-01,RO,914308.5125763451,2,-1343.767605306357,-1397.850066007679,0.17630321925786022,0.10161209299128875,0.012571076529802348
2023-02-01,RO,978334.6156799564,3,-1343.767605306357,-1397.850066007679,0.17630321925786022,0.10161209299128875,0.012571076529802348
2023-03-01,RO,1012549.4375293311,4,-1343.767605306357,-1397.850066007679,0.17630321925786022,0.10161209299128875,0.012571076529802348
2022-11-01,SE,3753042.503036542,1,-2655.747439053346,-2729.212288166798,0.1056103335907229,0.07393428192816542,0.02368312694436804
2022-12-01,SE,3031875.6098224223,2,-2655.747439053346,-2729.212288166798,0.1056103335907229,0.07393428192816542,0.02368312694436804
2023-01-01,SE,3072120.222099732,3,-2655.747439053346,-2729.212288166798,0.1056103335907229,0.07393428192816542,0.02368312694436804
2023-02-01,SE,3406632.8271898567,4,-2655.747439053346,-2729.212288166798,0.1056103335907229,0.07393428192816542,0.02368312694436804
