geo,ar1,ma1,ma2,ma3,ma4,ma5,intercept,S1-12,C1-12,S2-12,C2-12,S3-12,C3-12,S4-12,C4-12,sigma,S5-12,C5-12,C6-12,ar2,ar3,ar4,ar5,drift
AT,0.8999707190540632,-0.17499327208528054,-0.20178552726452365,-0.2702454794409269,-0.20307436700998754,0.2512209237540544,2.7597716542613484,-1.9447615018762434e-4,-0.012712829173505063,0.030441654137986465,0.005924502395252294,0.0037603938782317936,8.297845205643105e-4,-2.1687561979822322e-4,0.0017960692805175657,4.431526524385375e-4,NA,NA,NA,NA,NA,NA,NA,NA
BE,NA,0.14227922024499343,-0.659288835402031,-0.41256634252112306,NA,NA,NA,-0.02109146762126999,-0.0286120606332705,0.0053477210266391585,-0.0035017121082576565,-0.008695101922650073,0.00637759173214693,5.746510637711988e-4,-0.005216965423766546,2.763487074540654e-4,0.0011279556598543059,0.006362730010551135,0.0016796544620866541,NA,NA,NA,NA,NA
CY,0.43607144966927436,-0.31955512043372297,-0.6335102340650081,NA,NA,NA,NA,-0.05597740619855744,-0.050495171096388285,-0.0026207758791653183,-0.011311748384815695,-0.0016894462219446318,-0.009534489111464815,0.002224402269646106,5.127871462682742e-5,0.0016835885275504096,0.006805455271731094,9.382810938192536e-4,0.0010517628047777708,NA,NA,NA,NA,NA
CZ,0.6559735881138586,0.35407637431911276,NA,NA,NA,NA,2.7052113270888887,-0.020402542397933255,-0.02185898377893658,0.014640851725093133,-0.003367995728637406,-0.0033184641930261655,-3.37643124613627e-4,-0.0012928773505408617,-0.0027674550813776254,3.5904177606926467e-4,0.003185372846268825,0.003959303814337813,NA,NA,NA,NA,NA,NA
DE,0.7277921025805173,-0.5882701808166277,NA,NA,NA,NA,NA,-0.018505219882913045,-0.021747874889946336,0.002082461458941344,-0.0036321708800415263,7.914122622773958e-4,-8.314115452273648e-4,7.196320239289096e-4,-6.652026510108105e-4,7.13975960715431e-5,0.00263246174376304,0.0030951407016717282,8.09676495549984e-4,-0.4230358004598394,0.08170494280214964,-0.09240318988765621,-0.1623302178890139,NA
DK,0.7594533240496248,NA,NA,NA,NA,NA,2.6748728012745238,-0.027394533748012408,-0.04736008359300575,0.006020471667339097,0.0030041625059129273,-0.007929025510964437,0.0073570065901050075,0.001676482044838962,-0.0036364504736829464,1.3083214376707498e-4,-9.09944485373158e-4,0.008045955069539866,NA,NA,NA,NA,NA,NA
GR,0.44673616463904947,-0.35699163976372716,-0.41156777356566276,-0.1821307381505268,NA,NA,NA,-0.05997433784079364,-0.07331006724653004,0.007147573926592641,-0.008269644693275029,0.01069021797706931,-0.002228831640149552,0.004552901250214815,0.0010995130765448832,3.9158076272194484e-4,0.005341828069934177,0.005414884837745626,0.002118954433023406,NA,NA,NA,NA,NA
ES,0.036268316511293044,0.5598293740509592,NA,NA,NA,NA,NA,-0.02184633261065277,-0.025923171399177682,0.00775696196709667,-0.0069890070673473805,-8.351700347731598e-4,0.00246786412536734,0.0010669828147816971,-7.693921566172797e-4,1.2097598103829106e-4,0.0028908850426809796,0.0010863578556466798,0.001090223178034006,NA,NA,NA,NA,1.8599005436892527e-4
FI,0.5737706600065017,-0.5603400771510738,-0.3947354623181224,NA,NA,NA,NA,-0.010653716669513166,-0.01985470347060508,0.01454686602653972,0.0016479551710403893,-0.012048674300825929,-0.0022578966551960516,0.0033296850431628125,0.001152965364494897,7.501559308540728e-5,-3.121319436875809e-4,5.730551147718117e-4,-3.380648627197647e-4,NA,NA,NA,NA,9.333088414211231e-5
FR,0.02460308930251119,0.11099695369964076,-0.7298693653763731,NA,NA,NA,NA,-0.023680541195919648,-0.029824278291610662,0.02086012155763517,-0.003276562334488435,-0.003244585350616803,0.005296714449943455,-0.0014029521900402785,-0.0016941081988236148,2.588811782252822e-4,0.0038271855149884845,0.0031432868826988328,0.0012632095120045678,0.20668448915893098,-0.301221199482607,NA,NA,NA
HR,0.7627172716878226,-0.7568231250935957,NA,NA,NA,NA,NA,-0.07928293867574965,-0.1101399558527861,0.019824405927930683,-0.007762246776447093,0.005628241710381306,0.006992539918645915,0.004172074147785568,0.0018245266876724467,4.6415714736904235e-4,0.0015432075105236906,0.0018343169584905637,0.0021560237021124445,-0.42590701251866264,NA,NA,NA,NA
HU,0.9238715558417001,-0.736707865140547,NA,NA,NA,NA,NA,-0.0291504369456137,-0.03146346389832422,0.008853748484097574,-5.457867689870844e-4,-0.006342391347215322,0.0036905008734495343,-6.426093888037769e-4,-0.0025689105735308775,2.3799877070974595e-4,0.005057462874340978,0.002375338403483804,NA,-0.4369957019629848,NA,NA,NA,NA
IT,1.0704148743846043,-0.7697514468548556,NA,NA,NA,NA,NA,-0.026992446839152917,-0.038631457653429756,0.01934022036479814,-0.005281269263371225,0.0013993120090210033,0.00391699782872406,0.0010976529181988782,-8.383133723959685e-6,7.407193960418808e-5,0.0026754128884875225,3.493752499853578e-4,0.0018628923455961417,-0.5194138200833979,NA,NA,NA,NA
