country_code,transform,date,yhat
AT,sqrt,2023-02-01,12265804.314088749
BE,sqrt,2023-02-01,2276010.4512502356
CY,std,2023-02-01,144912.64646209753
CZ,std,2023-02-01,3706861.067738724
DE,std,2023-02-01,22854084.584277213
DK,std,2023-02-01,1714687.4575695144
ES,sqrt,2023-02-01,22951744.418905623
FI,std,2023-02-01,1704891.5625041383
FR,std,2023-02-01,22054783.69393027
GR,std,2023-02-01,1654995.4414596455
HR,sqrt,2023-02-01,772132.2628180621
HU,std,2023-02-01,1552276.171467092
IT,sqrt,2023-02-01,15973782.499653827
LT,sqrt,2023-02-01,445214.67142235424
LU,sqrt,2023-02-01,113891.92118843678
LV,std,2023-02-01,227152.88684589692
MT,std,2023-02-01,496156.55340402306
NL,sqrt,2023-02-01,5978535.659296217
PL,sqrt,2023-02-01,6150258.177588685
PT,std,2023-02-01,3836054.518646092
RO,sqrt,2023-02-01,1454755.2434992993
SE,sqrt,2023-02-01,3119976.0965096992
SI,sqrt,2023-02-01,682419.3025369578
SK,std,2023-02-01,1088521.5270322696
