date,country_code,yhat,h,bic,aicc,rmse,mae,acf
2023-02-01,AT,13252943.667292122,1,153.99230754636645,134.38440222057397,0.27511856250735484,0.1676739041262475,0.0026195765935343594
2023-03-01,AT,10556760.070500607,2,153.99230754636645,134.38440222057397,0.27511856250735484,0.1676739041262475,0.0026195765935343594
2023-04-01,AT,6023178.504387469,3,153.99230754636645,134.38440222057397,0.27511856250735484,0.1676739041262475,0.0026195765935343594
2023-05-01,AT,6061842.9604169205,4,153.99230754636645,134.38440222057397,0.27511856250735484,0.1676739041262475,0.0026195765935343594
2023-02-01,BE,2315917.094137524,1,98.58089852376311,63.48170851517305,0.2509434879870732,0.14955477363954892,0.002237176628297147
2023-03-01,BE,2407331.2350236177,2,98.58089852376311,63.48170851517305,0.2509434879870732,0.14955477363954892,0.002237176628297147
2023-04-01,BE,3112657.9347914467,3,98.58089852376311,63.48170851517305,0.2509434879870732,0.14955477363954892,0.002237176628297147
2023-05-01,BE,3028899.488584372,4,98.58089852376311,63.48170851517305,0.2509434879870732,0.14955477363954892,0.002237176628297147
2023-01-01,CY,259923.97793300764,1,-202.7357874040251,-220.3829747802218,0.15059791324661756,0.09582944410496613,1.0028365384808855e-4
2023-02-01,CY,255482.93775978056,2,-202.7357874040251,-220.3829747802218,0.15059791324661756,0.09582944410496613,1.0028365384808855e-4
2023-03-01,CY,363648.91563686007,3,-202.7357874040251,-220.3829747802218,0.15059791324661756,0.09582944410496613,1.0028365384808855e-4
2023-04-01,CY,635822.6638593456,4,-202.7357874040251,-220.3829747802218,0.15059791324661756,0.09582944410496613,1.0028365384808855e-4
2023-02-01,CZ,3475087.9399804096,1,-38.029311723732874,-65.2869975364857,0.19566824203360972,0.12751249152778593,0.009425885968335327
2023-03-01,CZ,2934812.75379093,2,-38.029311723732874,-65.2869975364857,0.19566824203360972,0.12751249152778593,0.009425885968335327
2023-04-01,CZ,2705835.1147635393,3,-38.029311723732874,-65.2869975364857,0.19566824203360972,0.12751249152778593,0.009425885968335327
2023-05-01,CZ,3318399.9868984283,4,-38.029311723732874,-65.2869975364857,0.19566824203360972,0.12751249152778593,0.009425885968335327
2023-02-01,DE,21666786.38691079,1,-65.9944789925235,-101.09366900111355,0.20025768727079002,0.11617081866926202,0.009690756120407403
2023-03-01,DE,24141722.02569009,2,-65.9944789925235,-101.09366900111355,0.20025768727079002,0.11617081866926202,0.009690756120407403
2023-04-01,DE,29369319.210294466,3,-65.9944789925235,-101.09366900111355,0.20025768727079002,0.11617081866926202,0.009690756120407403
2023-05-01,DE,36127719.103098795,4,-65.9944789925235,-101.09366900111355,0.20025768727079002,0.11617081866926202,0.009690756120407403
2023-02-01,DK,1660107.6598016531,1,-112.34644666460957,-140.08028836705464,0.14758921647280623,0.09709886392888192,0.010577468228396746
2023-03-01,DK,1858376.636605075,2,-112.34644666460957,-140.08028836705464,0.14758921647280623,0.09709886392888192,0.010577468228396746
2023-04-01,DK,2663524.933341475,3,-112.34644666460957,-140.08028836705464,0.14758921647280623,0.09709886392888192,0.010577468228396746
2023-05-01,DK,3385328.608137465,4,-112.34644666460957,-140.08028836705464,0.14758921647280623,0.09709886392888192,0.010577468228396746
2023-02-01,GR,1607317.3622186435,1,-374.8692369481131,-397.53518907568184,0.12804094528151033,0.07505104530484841,1.9627976465108588e-4
2023-03-01,GR,1848516.3036530372,2,-374.8692369481131,-397.53518907568184,0.12804094528151033,0.07505104530484841,1.9627976465108588e-4
2023-04-01,GR,4352638.082855798,3,-374.8692369481131,-397.53518907568184,0.12804094528151033,0.07505104530484841,1.9627976465108588e-4
