country_code,transform,date,yhat
AT,std,2023-04-01,6409624.758155693
BE,sqrt,2023-04-01,2249991.5232141307
CY,std,2023-04-01,842727.0827586883
CZ,std,2023-04-01,2549406.6600482874
DE,std,2023-04-01,29862071.61216421
DK,std,2023-04-01,2623853.5944415927
ES,sqrt,2023-04-01,26443445.659233272
FI,std,2023-04-01,1482617.3505234611
FR,std,2023-04-01,25219092.616543967
GR,sqrt,2023-04-01,4119020.469252774
HR,sqrt,2023-04-01,1658713.498884088
HU,std,2023-04-01,1548927.3415999592
IT,sqrt,2023-04-01,13826500.433715222
LT,sqrt,2023-04-01,428607.7960181756
LU,sqrt,2023-04-01,117541.95790725316
LV,std,2023-04-01,236051.4274428709
MT,std,2023-04-01,660574.0982005214
NL,sqrt,2023-04-01,7909973.073049163
PL,sqrt,2023-04-01,4156816.180018335
PT,sqrt,2023-04-01,4921801.793483745
RO,sqrt,2023-04-01,1377299.4961970183
SE,sqrt,2023-04-01,4506430.268246415
SI,sqrt,2023-04-01,586352.5694117339
SK,std,2023-04-01,479176.36176979
