country_code,rmse_min,rmse_mean,transform
AT,1637819.2207185135,1637819.2207185135,sqrt
BE,618771.482815762,618771.482815762,sqrt
CY,228443.45485443252,228443.45485443252,std
CZ,628870.3789788,628870.3789788,std
DE,5332379.848436895,5332379.848436895,std
DK,651954.9445285867,651954.9445285867,std
ES,6145510.642302245,6145510.642302245,std
FI,328187.78985374386,328187.78985374386,std
FR,4751249.0081464,4751249.0081464,std
GR,2025116.1928263044,2025116.1928263044,sqrt
HR,982496.5277641246,982496.5277641246,sqrt
HU,282609.97897346213,282609.97897346213,std
IT,3674479.595247035,3674479.595247035,sqrt
LT,81854.12792010831,81854.12792010831,sqrt
LU,40562.92086917225,40562.92086917225,sqrt
LV,54335.711571395324,54335.711571395324,sqrt
MT,120154.51455725465,120154.51455725465,std
NL,1148184.4276178924,1148184.4276178924,sqrt
PL,842807.7344195207,842807.7344195207,std
PT,1181571.8617663884,1181571.8617663884,sqrt
RO,197235.0875143882,197235.0875143882,sqrt
SE,722638.0609745698,722638.0609745698,sqrt
SI,195562.37044235994,195562.37044235994,sqrt
SK,151585.029318247,151585.029318247,sqrt
