country_code,ar1,ma1,ma2,sma1,sma2,sigma,ma3,ma4,sar1,sar2,ar2,ar3,drift,ma5,ar4
AT,0.711211182113305,0.24986543970700142,0.32268087926593025,-0.9304936122126513,0.16059724816206108,34024.41560244727,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE,0.88725703057362,0.17269732788183453,-0.2062985406458935,-0.319462384355403,-0.24855873775182882,11519.88078698899,-0.24468265680796267,-0.09216532749477545,-0.3969541592773003,-0.17054209876038628,NA,NA,NA,NA,NA
CY,-0.9004487409025503,2.2935131481783104,2.1268107555444877,-0.795528322277148,NA,4170.983234563123,1.1037686309237238,0.3314421074112762,NA,NA,0.5346643618355873,0.52458895034636,-0.8895351775495649,NA,NA
CZ,0.9005472847101433,0.5651800870218011,-0.13106596282166086,-0.7228019484567245,NA,12938.531723614042,-0.34247674004579115,NA,NA,NA,NA,NA,NA,NA,NA
DE,1.093961638925795,NA,NA,-0.6847327740738294,-0.17823496244083917,62423.705814192755,NA,NA,NA,NA,-0.27309511182375656,NA,NA,NA,NA
DK,0.8835561612037028,-0.10745199979829372,0.08755162382600931,-0.5946166657351796,NA,8889.990174156777,-0.22744647995603837,-0.2081854991796304,NA,NA,NA,NA,NA,0.1362371793041938,NA
GR,0.7489587736241895,0.5426481304062335,0.2752698696777001,-0.5203321912839916,-0.17273520384807625,29202.578931602387,NA,NA,NA,NA,NA,NA,NA,NA,NA
ES,0.9390551473424442,0.2516063925620075,0.05980566258872291,-0.8396038042876118,NA,78012.645104775,-0.19546005124096685,-0.16763695865469688,NA,NA,NA,NA,5.703070817236132,NA,NA
FI,0.7241238160635455,0.3847117254578833,NA,-0.49960643255495,-0.16484637081476178,2197.7130251155504,NA,NA,NA,NA,NA,NA,0.7186771078887048,NA,NA
FR,0.524962336750461,0.6151794716082954,0.3144454878989808,NA,NA,197280.5220753124,NA,NA,-0.651244768531374,-0.35857450368425087,NA,NA,NA,NA,NA
HR,0.8205434781619991,0.20407935225150584,0.1462817765729609,-0.5068954827017561,NA,27558.66525500044,-0.2149141417310444,NA,NA,NA,NA,NA,NA,NA,NA
HU,0.8073114289488544,0.4120435514426651,0.1952934097505797,-0.7270445631224277,NA,6470.947914458281,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT,1.5010317714692603,-0.4737430662706939,0.8382855469560061,0.03424350379230498,-0.5342768191038282,50108.11745647569,NA,NA,-0.8390885569876361,-0.3224251448754668,-1.262408029231445,0.5986843182540107,NA,NA,NA
LT,-0.13297417178533089,1.5526871832997629,0.5930957327470274,-0.6844610516563838,NA,1188.908528862191,NA,NA,NA,NA,0.8364881448759929,NA,1.6082043182472818,NA,NA
LU,0.7654809404952881,NA,NA,0.001548985120183317,-0.3698369307078976,824.6162885164102,NA,NA,-0.5285301535170515,-0.08774604951376172,NA,NA,NA,NA,NA
LV,0.8837135458514535,0.34028414223282866,NA,-0.6969773396416468,NA,854.7724184211966,NA,NA,NA,NA,NA,NA,NA,NA,NA
MT,0.923711010874926,0.5717038893782882,0.17358315088937168,-0.7983882107605107,NA,2931.950579042419,-0.08337334350553105,-0.3985986739161729,NA,NA,NA,NA,NA,-0.1430194026383517,NA
NL,NA,0.6850667941316392,0.5533858790354826,-0.03084865773839254,-0.7102120269678945,25445.802818288856,0.23164585157008635,NA,-0.7060574965191175,NA,NA,NA,2.47120791780513,NA,NA
PL,1.959543015053198,-0.4986216853162566,NA,-0.6071413352697654,NA,12044.277752796634,NA,NA,0.0027438336745528877,-0.25821791575073255,-1.5064065259265256,0.5046319120484868,NA,NA,NA
PT,0.5630583141350347,0.6780911372815379,0.6866519787229736,-0.8204977586357686,NA,9922.634813217697,0.953552869862995,0.2573135869038767,-0.06572790963717755,NA,-0.24095537584018334,-0.35737802067621216,1.6155858800986398,NA,0.6642580194062027
RO,0.7267952706306544,0.6718244282004231,0.13149718399907898,-0.6861023415150551,NA,4691.4467733830315,NA,NA,NA,NA,NA,NA,NA,NA,NA
SE,0.8240947174600342,0.19466292413276626,-0.13489354474606824,-0.2244801081485049,NA,7478.731787922229,NA,NA,NA,NA,NA,NA,2.370268380318449,NA,NA
SI,0.6823417420367478,0.6258621652540808,0.33496998109841475,-0.6258893354897801,NA,3623.1433147783227,NA,NA,NA,NA,NA,NA,NA,NA,NA
SK,1.3883035678088345,NA,NA,NA,NA,3772.517878900778,NA,NA,-0.6171105055312699,-0.5313283823853163,-0.7854454930727428,0.2593257947490358,-0.5492857449015669,NA,NA
