country_code,date,resid_total,resid_total_sqrt,resid_total_log,resid_total_std,mean,sd,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
AT,2004-01-01,9881024,3143.4096137792794,16.106126708078108,0.4475109034557275,8287255.235897436,3561407.6702831364,0.88,0.78,0.7,0.52,0.35,0.45,0.57,0.63,0.66,0.41,0.62
AT,2004-02-01,11704874,3421.238664577495,16.27551589421871,0.9596258222892128,8287255.235897436,3561407.6702831364,0.92,0.76,0.7,0.36,0.48,0.31,0.48,0.64,0.69,0.41,0.51
AT,2004-03-01,9105015,3017.4517394649415,16.024335918588946,0.22961700535607352,8287255.235897436,3561407.6702831364,0.93,0.65,0.65,0.42,1,0.91,0,0.71,0.71,0.49,0.57
AT,2004-04-01,5725945,2392.8946905369653,15.56051815928495,-0.7191847923699811,8287255.235897436,3561407.6702831364,0.85,0.6,0.69,0.25,0.65,0,0.65,0.63,0.72,0.45,0.55
AT,2004-05-01,5487056,2342.446584236234,15.517902421930348,-0.7862619208866971,8287255.235897436,3561407.6702831364,0.84,0.59,0.66,0.39,0.6,0.55,0.67,0.64,0.67,0.41,0.45
AT,2004-06-01,7376325,2715.939064117603,15.81378610507,-0.255778141743884,8287255.235897436,3561407.6702831364,0.9,0.63,0.85,1,0.24,0.38,0.68,0.68,0.7,0.5,0.59
AT,2004-07-01,10921631,3304.789100684036,16.20625587610245,0.739700704888168,8287255.235897436,3561407.6702831364,0.9,0.65,1,0.35,0.94,0.9,0.53,0.58,0.67,0.5,0.53
AT,2004-08-01,13353057,3654.1834929297133,16.407255905360653,1.422415582010533,8287255.235897436,3561407.6702831364,1,0.57,0.78,0.34,0.68,0.57,0.4,0.55,0.63,0.42,0.53
AT,2004-09-01,7724524,2779.3027902695308,15.859910760726631,-0.15800809342691677,8287255.235897436,3561407.6702831364,0.92,0.61,0.69,0.22,0.22,0.34,0.48,0.65,0.69,0.46,0.46
AT,2004-10-01,4838332,2199.620876423935,15.39208059119573,-0.9684157375960394,8287255.235897436,3561407.6702831364,0.87,0.57,0.59,0,0.35,0,0.33,0.69,0.71,0.43,0.44
AT,2004-11-01,2871048,1694.4167137985862,14.870187677876713,-1.5208051807971876,8287255.235897436,3561407.6702831364,0.8,0.66,0.55,0.33,0.78,0,0.48,0.74,0.81,0.48,0.61
AT,2004-12-01,6279333,2505.8597327065218,15.652774322612597,-0.5638001660556325,8287255.235897436,3561407.6702831364,0.78,0.64,0.71,0.15,0.28,0.25,0.4,0.77,0.68,0.5,0.46
AT,2005-01-01,10692001,3269.8625353369216,16.185006449768814,0.6752233910675505,8287255.235897436,3561407.6702831364,0.73,0.7,0.67,0.37,0.61,0.2,0.48,0.71,0.65,0.46,0.53
AT,2005-02-01,11374506,3372.611154580379,16.246885093286814,0.8668625021120157,8287255.235897436,3561407.6702831364,0.65,0.67,0.57,0.32,0.36,0.18,1,0.7,0.68,0.44,0.55
AT,2005-03-01,11316881,3364.057223056707,16.2418060627386,0.8506821022996519,8287255.235897436,3561407.6702831364,0.73,0.56,0.65,0,0,0.27,0.4,0.66,0.65,0.55,0.43
AT,2005-04-01,4257535,2063.3795094456086,15.264200912272036,-1.1314964780701637,8287255.235897436,3561407.6702831364,0.72,0.5,0.53,0.14,0.63,0.72,0.48,0.67,0.73,0.49,0.55
AT,2005-05-01,5756831,2399.3397008343773,15.565897707659929,-0.7105123788584035,8287255.235897436,3561407.6702831364,0.85,0.55,0.65,0.11,0.44,0.4,0.36,0.63,0.72,0.48,0.6
AT,2005-06-01,6994689,2644.7474359567873,15.760661704764523,-0.3629368933758362,8287255.235897436,3561407.6702831364,0.74,0.54,0.58,0.62,0,0.61,0.38,0.68,0.73,0.42,0.53
AT,2005-07-01,11124153,3335.289042946653,16.224629248286714,0.7965664216916305,8287255.235897436,3561407.6702831364,0.81,0.57,0.65,0.08,0.3,1,0.38,0.63,0.66,0.45,0.49
AT,2005-08-01,13144189,3625.4915528794163,16.39149031778028,1.3637679855158036,8287255.235897436,3561407.6702831364,0.81,0.63,0.83,0.29,0.33,0.5,0.61,0.64,0.75,0.45,0.55
AT,2005-09-01,7709087,2776.5242660563945,15.85791032088816,-0.16234261545561018,8287255.235897436,3561407.6702831364,0.85,0.54,0.54,0.22,0.44,0.24,0.47,0.62,0.58,0.5,0.42
AT,2005-10-01,5099233,2258.1481350876875,15.444600694227658,-0.8951579069418873,8287255.235897436,3561407.6702831364,0.74,0.55,0.55,0,0.2,0.19,0.35,0.66,0.63,0.48,0.41
AT,2005-11-01,2909012,1705.582598410291,14.88332406259774,-1.5101453508887004,8287255.235897436,3561407.6702831364,0.83,0.56,0.52,0.18,0.26,0.28,0.32,0.76,0.73,0.61,0.48
AT,2005-12-01,6652472,2579.238647353129,15.710499072881118,-0.45902726877865924,8287255.235897436,3561407.6702831364,0.7,0.57,0.52,0.19,0.13,0.19,0.17,0.77,0.7,0.65,0.43
AT,2006-01-01,10636678,3261.3920340860586,16.17981877508246,0.6596893648841337,8287255.235897436,3561407.6702831364,0.69,0.68,0.54,0.3,0.58,0.23,0.44,0.62,0.64,0.57,0.52
AT,2006-02-01,11570922,3401.605797266932,16.264005784845345,0.9220137283080284,8287255.235897436,3561407.6702831364,0.71,0.63,0.53,0.1,0.36,0.2,0.49,0.61,0.67,0.49,0.51
AT,2006-03-01,9985138,3159.9268978886203,16.116608345467643,0.476744849591336,8287255.235897436,3561407.6702831364,0.69,0.53,0.46,0.16,0,0.46,0.4,0.64,0.69,0.53,0.57
AT,2006-04-01,6096314,2469.071485396889,15.623194884208418,-0.6151896774353982,8287255.235897436,3561407.6702831364,0.66,0.46,0.55,0.19,0.48,0.29,0.4,0.61,0.62,0.46,0.43
AT,2006-05-01,5284527,2298.809909496651,15.480293674700349,-0.8431296032051043,8287255.235897436,3561407.6702831364,0.72,0.5,0.54,0.24,0.18,0.39,0.53,0.65,0.74,0.48,0.49
AT,2006-06-01,7493436,2737.4141082415717,15.829537995295413,-0.22289479593172387,8287255.235897436,3561407.6702831364,0.79,0.47,0.64,0.35,0.39,0.44,0.48,0.6,0.67,0.47,0.44
AT,2006-07-01,11329597,3365.946672185999,16.242929063086503,0.8542526005905676,8287255.235897436,3561407.6702831364,0.83,0.53,0.79,0.3,0.14,0.6,0.76,0.58,0.66,0.46,0.42
AT,2006-08-01,12293280,3506.177405665606,16.324563329580354,1.1248430775081921,8287255.235897436,3561407.6702831364,0.81,0.52,0.67,0.1,0,0.3,0.71,0.6,0.7,0.43,0.48
AT,2006-09-01,8089687,2844.2375076635212,15.906100598545788,-0.05547476003546903,8287255.235897436,3561407.6702831364,0.71,0.5,0.61,0.14,0.45,0.28,0.33,0.61,0.65,0.48,0.45
