date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2023-03-01,AT,0.66,0.26,0.16,0.07,0.12,0,0.21,0.77,0.76,0.58,0.72
2023-04-01,AT,0.75,0.25,0.17,0.06,0.14,0,0.26,0.82,0.78,0.65,0.77
2023-03-01,BE,0.32,0,0.22,0.08,0,0.07,0.27,0.7,0.67,0.62,0.77
2023-04-01,BE,0.45,0,0.22,0.08,0,0.14,0.37,0.76,0.71,0.67,0.88
2023-03-01,CY,0.22,0.2,0.12,0.23,0.19,0.06,0.08,0.54,0.7,0.22,0.65
2023-04-01,CY,0.26,0.2,0.13,0.26,0.15,0.04,0.11,0.59,0.84,0.26,0.75
2023-03-01,CZ,0,0.26,0.08,0.02,0.02,0.02,0.03,0.8,0.93,0.64,0.8
2023-04-01,CZ,0,0.28,0.13,0.06,0.03,0,0.03,0.87,0.97,0.71,0.91
2023-03-01,DE,0.6,0.34,0.12,0.15,0,0.39,0.2,0.65,0.72,0.64,0.71
2023-04-01,DE,0.65,0.35,0.15,0.18,0,0.43,0.19,0.73,0.77,0.69,0.76
2023-03-01,DK,0.42,0.14,0.16,0.07,0.05,0.13,0.05,0.64,0.66,0.43,0.67
2023-04-01,DK,0.56,0.16,0.16,0.06,0.03,0.08,0.04,0.69,0.72,0.54,0.69
2023-03-01,ES,0.47,0.33,0.21,0.11,0.2,0.18,0.33,0.68,0.5,0.47,0.79
2023-04-01,ES,0.53,0.31,0.23,0.12,0.22,0.19,0.33,0.73,0.56,0.58,0.85
2023-03-01,FI,0.28,0.25,0.26,0.09,0.15,0.08,0.04,0.66,0.59,0.64,0.38
2023-04-01,FI,0.26,0.27,0.24,0.12,0.15,0.1,0.04,0.63,0.64,0.73,0.39
2023-02-01,FR,0.42,0.27,0.14,0.12,0.21,0.12,0.25,0.7,0.8,0.43,0.76
2023-03-01,FR,0.49,0.27,0.14,0.12,0.23,0.12,0.28,0.65,0.7,0.39,0.7
2023-04-01,FR,0.45,0.26,0.13,0.13,0.22,0.16,0.29,0.73,0.81,0.5,0.8
2023-03-01,GR,0.12,0.33,0.22,0.2,0.19,0.1,0.19,0.68,0.73,0.34,0.74
2023-04-01,GR,0.15,0.37,0.22,0.24,0.21,0.09,0.26,0.76,0.83,0.34,0.77
2023-02-01,HR,0.1,0.22,0.15,0.15,0.16,0.09,0.17,0.78,0.67,0.62,0.71
2023-03-01,HR,0.11,0.23,0.18,0.18,0.15,0.1,0.21,0.72,0.65,0.63,0.66
2023-04-01,HR,0.14,0.26,0.22,0.21,0.2,0.08,0.24,0.86,0.7,0.79,0.79
2023-03-01,HU,0.19,0.24,0.12,0.05,0.03,0.02,0.02,0.79,0.72,0.83,0.61
2023-04-01,HU,0.18,0.28,0.14,0.09,0.04,0.05,0.04,0.82,0.76,0.89,0.64
2023-03-01,IT,0.4,0.31,0.2,0.15,0.13,0.17,0.31,0.68,0.74,0.61,0.79
2023-04-01,IT,0.49,0.34,0.2,0.19,0.14,0.21,0.36,0.73,0.82,0.67,0.89
2023-03-01,LT,0.19,0.21,0.05,0.03,0.01,0.03,0,0.79,0.71,0.5,0.51
2023-04-01,LT,0.21,0.22,0.07,0.03,0.02,0.05,0,0.82,0.72,0.5,0.53
2023-03-01,LU,0.8,0.49,0.24,0.15,0.31,0.09,0.16,0.72,0.6,0.41,0.37
2023-04-01,LU,0.83,0.49,0.23,0.13,0.22,0.12,0.18,0.7,0.58,0.44,0.41
2023-02-01,LV,0.06,0.19,0.03,0.07,0.04,0,0.03,0.87,0.85,0.48,0.84
2023-03-01,LV,0.08,0.22,0.06,0.04,0.04,0.03,0.02,0.8,0.84,0.4,0.77
2023-04-01,LV,0.08,0.22,0.07,0.01,0,0,0.05,0.84,0.79,0.41,0.78
2023-03-01,MT,0.66,0.43,0.26,0.39,0.35,0.09,0.24,0.51,0.41,0.41,0.29
2023-04-01,MT,0.69,0.48,0.26,0.38,0.36,0.11,0.29,0.55,0.47,0.49,0.33
2023-03-01,NL,0.72,0.73,0.25,0,0.21,0.06,0.05,0.68,0.68,0.57,0.66
2023-04-01,NL,0.87,0.72,0.23,0,0.23,0.1,0.09,0.73,0.76,0.71,0.65
2023-03-01,PL,0.23,0.34,0.13,0.13,0.35,0,0.1,0.82,0.77,0.55,0.82
2023-04-01,PL,0.26,0.44,0.16,0.11,0.34,0,0.11,0.88,0.8,0.63,0.92
2023-03-01,PT,0.55,0.54,0,0.21,0.69,0.12,0.24,0.72,0.79,0.62,0.78
2023-04-01,PT,0.6,0.55,0,0.22,0.73,0.17,0.24,0.77,0.85,0.71,0.83
2023-03-01,RO,0.58,0.67,0.48,0.17,0.15,0.11,0.17,0.79,0.88,0.66,0.75
2023-04-01,RO,0.26,0.45,0.43,0.17,0.21,0.12,0.12,0.9,0.87,0.77,0.7
2023-03-01,SE,0.63,0.31,0.09,0.06,0.07,0.1,0.06,0.68,0.62,0.78,0.67
2023-04-01,SE,0.74,0.29,0.1,0.08,0.07,0.09,0.07,0.69,0.66,0.86,0.7
2023-03-01,SI,0.16,0.25,0.14,0.06,0.05,0.13,0.07,0.8,0.8,0.5,0.82
2023-04-01,SI,0.23,0.31,0.18,0.07,0.08,0.19,0.13,0.85,0.91,0.4,0.88
2023-03-01,SK,0.09,0.21,0.08,0.12,0.02,0.02,0.07,0.84,0.72,0.58,0.89
2023-04-01,SK,0.1,0.2,0.08,0.02,0.03,0.03,0.04,0.87,0.65,0.61,1
