month_end,geo,yhat
2022-01-01,AL,645037.4819262743
2022-02-01,AL,859553.1557717663
2022-03-01,AL,352136.9789338417
2022-04-01,AL,127588.21210180619
2022-06-01,AT,10330149.511601044
2022-07-01,AT,11946320.648850191
2022-08-01,AT,11283312.961914284
2022-09-01,AT,7722382.71790663
2022-08-01,BE,1214197.9061269034
2022-09-01,BE,1645377.8744401075
2022-10-01,BE,1846126.7081213316
2022-11-01,BE,2528974.3260736377
2021-08-01,BG,537589.82358665
2021-09-01,BG,520586.0188179007
2021-10-01,BG,503573.37091801455
2021-11-01,BG,568876.0989620886
2021-07-01,CY,315533.31911607005
2021-08-01,CY,340838.0542122171
2021-09-01,CY,536684.6295584232
2021-10-01,CY,704576.6286109863
2022-08-01,CZ,2102636.853572691
2022-09-01,CZ,2365440.659958277
2022-10-01,CZ,2523084.8505444303
2022-11-01,CZ,2575767.8845936097
2022-08-01,DE,15585939.51702948
2022-09-01,DE,17073724.20954758
2022-10-01,DE,19909295.436475046
2022-11-01,DE,23834820.6450118
2022-04-01,DK,725790.4672019347
2022-05-01,DK,879250.7051703404
2022-06-01,DK,1337966.0322652252
2022-07-01,DK,1956289.3144343318
2021-07-01,EA,85157653.31628306
2021-08-01,EA,95193361.92458616
2021-09-01,EA,98920670.85894327
2021-10-01,EA,111990423.0438744
2022-07-01,EE,281799.9876069557
2022-08-01,EE,259393.20891338435
2022-09-01,EE,281211.63435630687
2022-10-01,EE,327396.7713184237
2022-08-01,EL,1121226.8314947383
2022-09-01,EL,1069758.9264696827
2022-10-01,EL,1380287.929303213
2022-11-01,EL,2526637.52611484
2022-08-01,ES,16554504.023565784
2022-09-01,ES,18172147.123561405
2022-10-01,ES,22682047.82772721
2022-11-01,ES,26098972.987435456
2022-07-01,EU27_2020,429248367.7832966
2022-08-01,EU27_2020,475805438.15822494
2022-09-01,EU27_2020,285334381.1799837
2022-10-01,EU27_2020,206514448.54283056
2022-08-01,FI,1274032.6280697042
2022-09-01,FI,1378251.897379729
2022-10-01,FI,1628368.4568126136
2022-11-01,FI,1381001.7970108602
2013-04-01,FR,55710717.82448011
2013-05-01,FR,33181269.66310631
2013-06-01,FR,1320971.7281036563
2013-07-01,FR,2691713.09494514
2022-08-01,HR,301667.0529656345
2022-09-01,HR,304448.6246617958
2022-10-01,HR,520935.334474002
2022-11-01,HR,1317466.5011085724
2022-08-01,HU,839390.0023038295
2022-09-01,HU,843074.6102501734
2022-10-01,HU,1097002.9802187197
2022-11-01,HU,1271876.091941527
2015-07-01,IE,742815.8354733186
2015-08-01,IE,1061502.1845090936
2015-09-01,IE,1250012.3989329326
2015-10-01,IE,2104797.411207013
2022-01-01,IS,72292.4574683161
2022-02-01,IS,97385.68610486161
2022-03-01,IS,114039.10505069257
2022-04-01,IS,120330.17554982004
2022-08-01,IT,14715352.692541236
2022-09-01,IT,15346730.17135605
2022-10-01,IT,17603153.239290107
2022-11-01,IT,21135459.72888244
2009-07-01,LI,12634.904820941794
2009-08-01,LI,16411.46404794351
2009-09-01,LI,15488.41460878071
2009-10-01,LI,11977.335121061591
2022-08-01,LT,146560.5308176481
2022-09-01,LT,135428.4096323792
2022-10-01,LT,159296.76100139716
2022-11-01,LT,171650.82334332351
2022-08-01,LU,98044.65392877751
2022-09-01,LU,102764.96193357203
2022-10-01,LU,129883.60201034874
2022-11-01,LU,163873.03015165197
2022-08-01,LV,165254.67403113644
2022-09-01,LV,155849.69038592532
2022-10-01,LV,172504.39852474898
2022-11-01,LV,189242.6670454602
2021-10-01,ME,65463.80590405199
2021-11-01,ME,46062.347844474774
2021-12-01,ME,35579.576367181726
2022-01-01,ME,46065.70433741703
2020-08-01,MK,48572.80394913789
2020-09-01,MK,43955.415359778126
2020-10-01,MK,45665.39884956999
2020-11-01,MK,65300.24680047083
2021-05-01,MT,328861.04172328423
2021-06-01,MT,383808.7247785147
2021-07-01,MT,467818.93580593355
2021-08-01,MT,568864.9649367083
2022-08-01,NL,3422820.9871120662
2022-09-01,NL,3809594.4602091177
2022-10-01,NL,4173444.2897285023
2022-11-01,NL,6454658.638914206
2022-08-01,NO,1400944.364410337
2022-09-01,NO,1706249.8464676477
2022-10-01,NO,1906465.0160672527
2022-11-01,NO,1680040.2400345637
2022-08-01,PL,2848382.1205427223
2022-09-01,PL,3161248.79930205
2022-10-01,PL,3168243.97785239
2022-11-01,PL,3365775.7369516157
2022-08-01,PT,1801887.7166720356
2022-09-01,PT,2173135.369586972
2022-10-01,PT,2902846.837756637
2022-11-01,PT,3389472.7782590417
2022-08-01,RO,665961.7256153197
2022-09-01,RO,708692.7318475476
2022-10-01,RO,821714.9044511531
2022-11-01,RO,981888.7132718873
2022-08-01,RS,1459558.2693551374
2022-09-01,RS,997367.5196429247
2022-10-01,RS,810745.6874902983
2022-11-01,RS,640461.0219259957
2022-07-01,SE,2216558.4318974493
2022-08-01,SE,2570024.224483528
2022-09-01,SE,2912452.118839817
2022-10-01,SE,2805524.076351827
2022-08-01,SI,619044.0162583032
2022-09-01,SI,620731.3780982213
2022-10-01,SI,558839.5505986152
2022-11-01,SI,586825.0523796073
2022-08-01,SK,624226.5852535304
2022-09-01,SK,768513.3110539904
2022-10-01,SK,734467.391483922
2022-11-01,SK,681718.043743151
2022-07-01,TR,34137783.1030889
2022-08-01,TR,36929928.42642338
2022-09-01,TR,32288856.571284257
2022-10-01,TR,30852183.44708686
2020-07-01,XK,68876.00545852658
2020-08-01,XK,73339.98729351873
2020-09-01,XK,61971.25690495431
2020-10-01,XK,63919.50929567343
